col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
Seventh-day Adventist Theological Seminary,ACCRED,U,V,MI,SDADV,11456,0,38,60,962,645,10649
Shaw University Divinity School,ACCRED,U,B,NC,GBAPTNC,1520,0,6,12,120,77,13188
Shepherds Theological Seminary,ACCRED,I,W,NC,NONDEN,2702,0,5,6,152,96,8490
Southeastern Baptist Theological Seminary,ACCRED,I,W,NC,SBC,34700,48,42,47,2246,1180,8949
Southeastern University School of Divinity,ACCRED,U,N,FL,AOG,2707,0,8,8,315,218,9885
Southern Baptist Theological Seminary,ACCRED,I,W,KY,SBC,39112,119,42,60,3499,1936,7182
Southern California Seminary Graduate School of Bible and Theology,ASSOC,C,M,CA,NONDEN,961,0,7,7,88,53,12663
Southwestern Baptist Theological Seminary,ACCRED,I,N,TX,SBC,44870,168,42,62,2331,1105,9353
SS. Cyril & Methodius Seminary,ACCRED,I,W,MI,RC,1700,5,1,1,14,14,18308
St. Andrew's College,ACCRED,I,W,SK,UCCAN,2166,4,4,4,34,15,6868
St. Augustine's Seminary of Toronto,ACCRED,I,N,ON,RC,7254,14,16,22,133,59,7220
St. Bernard's School of Theology and Ministry,ACCRED,I,W,NY,RC,1332,7,6,9,113,48,17495
St. Charles Borromeo Seminary,ACCRED,I,W,PA,RC,4823,20,19,23,119,113,24762
St. John Vianney Theological Seminary,ACCRED,I,W,CO,RC,6348,44,19,23,60,60,25092
St. John's Seminary (CA),ACCRED,I,H,CA,RC,7968,128,21,24,81,77,21400
St. Joseph's Seminary,ACCRED,I,W,NY,RC,10364,50,17,24,193,128,16800
St. Mark's College,ACCRED,I,W,BC,RC,2004,5,1,4,46,27,0
St. Mary's Seminary and University,ACCRED,I,W,MD,RC,9229,109,11,21,163,104,41355
St. Patrick's Seminary and University,ACCRED,I,W,CA,RC,6192,44,16,20,42,42,24243
St. Peter's Seminary,ACCRED,I,N,ON,RC,3990,20,8,12,38,25,8022
St. Stephen's College,ASSOC,I,W,AB,UCCAN,1010,0,0,14,130,71,0
St. Tikhon's Orthodox Theological Seminary,ACCRED,I,W,PA,OCA,2403,3,4,10,43,43,4180
St. Vincent de Paul Regional Seminary,ACCRED,I,W,FL,RC,7425,38,20,24,136,135,23140
St. Vladimir's Orthodox Theological Seminary,ACCRED,I,W,NY,OCA,6261,16,7,12,79,64,13220
Starr King School for the Ministry,ACCRED,I,W,CA,UUA,3323,10,8,15,127,76,23290
Talbot School of Theology,ACCRED,U,W,CA,INTER,33592,0,58,64,1180,560,17564
Trinity College Faculty of Divinity,ACCRED,C,N,ON,ANGL,2870,0,4,11,90,52,8289
Trinity Episcopal School for Ministry,ACCRED,I,W,PA,ANGOTH,5139,31,12,12,152,65,17550
Trinity Evangelical Divinity School,ACCRED,U,W,IL,EFCA,15835,29,32,47,669,491,14525
Trinity Lutheran Seminary,ACCRED,U,W,OH,ELCA,2259,34,6,7,43,35,13850
Tyndale Seminary,ACCRED,C,W,ON,INTER,19702,0,20,41,853,393,12150
Union Presbyterian Seminary,ACCRED,I,W,VA,PCUSA,14073,191,23,25,184,147,13190
Union Theological Seminary,ACCRED,I,W,NY,INTER,29255,130,21,32,236,221,29554
United Lutheran Seminary,ACCRED,I,W,PA,ELCA,13959,120,14,14,342,184,21500
United Theological Seminary,ACCRED,I,B,OH,UMC,7241,8,11,14,417,215,17445
