Table 2.8 Full-Time Equivalent Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
United States,,,,,
,2017,2018,2019,2020,2021
Master's Degree Programs,,,,,
MDiv,20208,20889,20942,21093,19280
MA (prof),7237,7864,7960,8073,8157
MA (acad),5498,7124,6575,6744,5557
MA (both),0,0,0,0,918
Subtotal MA,12735,14988,14535,14817,14632
ThM/MTh/STM,1036,1005,700,746,675
Doctoral Degree Programs,,,,,
DMin,2821,2814,3026,3061,3336
Other Prof Dr,791,1158,1401,1528,1552
Subtotal DMin and Other Prof Dr,3612,3972,4427,4589,4888
PhD/ThD,3531,3718,3807,3678,3773
Non-Degree Programs,,,,,
NonDegree,2072,1992,1808,1787,2101
Total,43194,46564,46219,46710,45349
Canada,,,,,
,2017,2018,2019,2020,2021
Master's Degree Programs,,,,,
MDiv,990,1033,1063,960,910
MA (prof),405,423,458,519,524
MA (acad),523,494,533,541,301
MA (both),0,0,0,0,184
Subtotal MA,928,918,990,1060,1009
ThM/MTh/STM,68,44,61,47,168
Doctoral Degree Programs,,,,,
DMin,83,84,79,72,79
Other Prof Dr,17,40,38,47,44
Subtotal DMin and Other Prof Dr,100,124,117,119,123
PhD/ThD,365,318,309,261,244
Non-Degree Programs,,,,,
NonDegree,289,294,266,294,304
Total,2739,2730,2807,2741,2758
