United States,col_1,col_2,col_3
Faculty Rank Name,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Professor,,,
1Number,519,263,458
2Average Salary,89431,88772,92066
2Median Salary,84053,86322,84897
3Average Salary and Housing,92905,92856,94888
4Average Benefits,10414,12659,12986
5Average Pension,6177,7307,7046
6Total Compensation Average,109497,112824,114921
Total Compensation 25th Percentile,80099,88049,96324
Total Compensation Median,103500,109165,109885
Total Compensation 75th Percentile,127103,135877,133001
Associate Professor,,,
1Number,342,171,289
2Average Salary,77808,76759,79854
2Median Salary,75860,77011,78660
3Average Salary and Housing,79999,78653,82173
4Average Benefits,12092,11771,12840
5Average Pension,6296,6701,6901
6Total Compensation Average,98388,97125,101915
Total Compensation 25th Percentile,79550,78998,88012
Total Compensation Median,96912,96343,96602
Total Compensation 75th Percentile,115889,112151,115772
Assistant Professor,,,
1Number,287,120,174
2Average Salary,64826,62686,64989
2Median Salary,65100,65000,65448
3Average Salary and Housing,67179,64244,66520
4Average Benefits,9960,8901,11406
5Average Pension,5587,4631,4281
6Total Compensation Average,82727,77778,82208
Total Compensation 25th Percentile,67446,61456,70992
Total Compensation Median,83133,78779,84802
Total Compensation 75th Percentile,97210,92408,95172
Non-Ranked Faculty,,,
1Number,38,10,16
2Average Salary,67289,55412,74843
2Median Salary,61200,54550,70000
3Average Salary and Housing,70884,57812,77843
4Average Benefits,11615,7437,8878
5Average Pension,4592,6229,4889
6Total Compensation Average,87091,71479,91611
Total Compensation 25th Percentile,60000,32400,62384
Total Compensation Median,82181,60500,76696
Total Compensation 75th Percentile,106300,104079,102212
