All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6
,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Professor,,,,,,
Number,253,345,291,161,137,141
Average Salary,75533,81872,104894,111683,85772,83246
Median Salary,76602,81134,94843,98899,81135,82752
Average Salary and Housing,79941,85064,109763,112971,86856,87096
Average Benefits,8917,9500,13054,12785,15988,12650
Average Pension,4574,5281,6309,9114,8977,9195
Total Compensation Average,93433,99846,129128,134871,111821,108941
Total Compensation 25th Percentile,69856,78275,100301,92621,98336,95650
Total Compensation Median,92873,100000,121459,122239,114510,106146
Total Compensation 75th Percentile,115214,120647,152950,158431,130077,117864
Associate Professor,,,,,,
Number,174,232,201,105,91,86
Average Salary,71348,76460,80240,84199,86537,74202
Median Salary,70249,74668,81176,84008,85842,76513
Average Salary and Housing,74490,78373,82644,84818,86851,77451
Average Benefits,9664,11068,10679,9289,15624,16019
Average Pension,5685,6011,5109,6465,7981,10960
Total Compensation Average,89840,95452,98433,100573,110456,104431
Total Compensation 25th Percentile,72747,75918,82924,75750,91469,91111
Total Compensation Median,85370,94980,97660,97947,101459,96958
Total Compensation 75th Percentile,106064,112093,113811,121293,112981,112778
Assistant Professor,,,,,,
Number,149,251,110,63,38,52
Average Salary,62783,60976,68862,67977,68826,65574
Median Salary,61198,63180,68163,67000,70000,65448
Average Salary and Housing,64967,62930,71319,68374,68902,67458
Average Benefits,8217,8279,9376,8403,14564,14819
Average Pension,4859,5068,4425,3876,6101,5709
Total Compensation Average,78044,76278,85121,80654,89568,87988
Total Compensation 25th Percentile,62379,59067,73644,65000,75348,77347
Total Compensation Median,72080,78125,87662,78938,92302,87232
Total Compensation 75th Percentile,92933,92995,97037,94336,103013,94838
Non-Ranked Faculty,,,,,,
Number,26,17,22,8,4,-
Average Salary,46949,59351,80674,65341,83456,-
Median Salary,48600,60345,70914,32500,27825,-
Average Salary and Housing,48888,62192,83129,66327,95456,-
Average Benefits,6692,12320,8452,6527,16453,-
Average Pension,1045,7871,4984,5020,6277,-
Total Compensation Average,56626,82385,96567,77875,118187,-
Total Compensation 25th Percentile,25000,58584,70914,30000,17750,-
Total Compensation Median,68843,77922,88554,32500,27825,-
Total Compensation 75th Percentile,82278,104268,118056,96567,204447,-
