All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6
,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Executive Vice President,,,,,,
Number,10,9,8,14,1,7
Average Salary,119656,127602,154305,157021,-,180743
Median Salary,102060,140000,117334,146250,-,175000
Average Salary and Housing,126546,128035,154305,157021,-,185593
Average Benefits,13688,13412,6130,9268,-,24169
Average Pension,8766,14265,14945,10643,-,19471
Total Compensation Average,149001,155713,175381,176932,-,229234
Total Compensation 25th Percentile,84168,61250,128438,150000,-,207137
Total Compensation Median,108183,162170,137310,175260,-,233359
Total Compensation 75th Percentile,193680,205516,176338,217356,-,237420
Chief Development Officer,,,,,,
Number,42,35,26,13,5,6
Average Salary,92933,114768,122877,140049,142969,164583
Median Salary,86325,113764,109518,136795,130000,170358
Average Salary and Housing,95919,116300,125093,140049,142969,164583
Average Benefits,8901,10643,14243,14706,19466,18886
Average Pension,7930,10074,10201,9776,12014,13523
Total Compensation Average,112751,137018,149538,164532,174450,196993
Total Compensation 25th Percentile,81000,93089,107697,108415,145870,183158
Total Compensation Median,100364,132398,142867,167632,153422,188165
Total Compensation 75th Percentile,137118,173807,198087,184513,171408,237420
Development Professional Staff,,,,,,
Number,23,36,36,36,10,9
Average Salary,56769,75827,78060,94207,59799,79316
Median Salary,55016,66300,70000,88305,45637,75468
Average Salary and Housing,57617,77493,80460,94207,59799,79316
Average Benefits,5937,11146,13733,13307,16278,12512
Average Pension,3849,6451,6653,9411,3908,9378
Total Compensation Average,67403,95092,100847,116926,79985,101207
Total Compensation 25th Percentile,54590,71400,76647,95295,52639,70237
Total Compensation Median,67956,85505,95280,108078,66763,92967
Total Compensation 75th Percentile,74604,104782,115307,128676,105735,109094
Chief Financial Officer,,,,,,
Number,48,52,30,12,6,7
Average Salary,88127,115002,109993,128504,127833,168061
Median Salary,81000,102245,109518,113395,130000,175000
Average Salary and Housing,89900,115291,112560,131004,127833,172911
Average Benefits,9897,11622,12368,8735,21593,17968
Average Pension,7212,9554,8233,7794,9354,17119
Total Compensation Average,107009,136468,133162,147533,158781,207999
Total Compensation 25th Percentile,76321,84939,95000,109105,151532,181385
Total Compensation Median,92094,133724,133997,121002,161696,207137
Total Compensation 75th Percentile,133788,176000,169085,187616,176153,210423
