"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2021",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Wycliffe College,,58,30,99,34,10,6,4,1,59,59,21,9,251,139
Yale University Divinity School,,158,148,146,138,15,10,0,0,0,0,0,0,319,296
