United States,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2011,,2016,,2020,,2021,
Enrollment size,N,%,N,%,N,%,N,%
< 75,68,29%,85,37%,88,37%,81,35%
75 - 150,81,35%,67,29%,67,28%,76,32%
151 - 300,42,18%,44,19%,48,20%,46,20%
301 - 500,24,10%,17,7%,16,7%,14,6%
501 - 1000,8,3%,10,4%,9,4%,9,4%
> 1000,7,3%,7,3%,8,3%,8,3%
Not Reporting,5,2%,1,0%,1,0%,1,0%
Total,235,100%,231,100%,237,100%,235,100%
