United States,col_1,col_2,col_3,col_4,col_5,col_6
,2019-2020,,2020-2021,,2021-2022,
,$,N,$,N,$,N
Administrators,,,,,,
Chief Executive Officer,192608,203,191629,206,203454,207
Academic VP/Academic Dean,125283,209,125858,211,126410,211
Academic Dean - Other,108685,137,111249,151,112139,155
Vice President for Administration,134599,82,133761,82,140497,77
Executive Vice President,163345,39,160297,43,175977,44
Chief Development Officer,135350,109,135188,115,144865,111
Development Professional Staff,95036,171,98597,143,98724,142
Chief Financial Officer,133639,136,136071,132,138806,133
Dean of Students,102022,105,104764,109,105958,106
Director of Student Services,84309,71,83351,61,79631,71
Director of Graduate Studies,94941,55,91912,65,96596,57
Director of Doctor of Ministry,93272,82,97334,90,99163,94
Director of Field Education,86463,108,88426,98,89952,100
Director of Continuing Education,103887,37,114827,34,96426,32
Director of Formation,92880,102,95723,94,102174,94
Head Librarian - Admin./Faculty,90425,116,90283,115,90025,113
Librarian Professional Staff,74166,187,74049,164,74589,161
Information Systems Manager,100595,96,103105,91,103331,95
Admissions Officer,80462,160,80325,161,81443,160
Recruitment Officer,81938,68,83233,64,84841,72
Registrar,74700,152,75823,159,76748,154
Alumni Officer,83330,53,83189,50,86582,58
Director of Extension/Distance Ed,80101,78,90383,81,84118,82
Financial Aid Officer,72839,91,76822,90,76400,93
Director of Assessment,92073,74,95615,75,97988,72
Director of Career/Placement Services,91243,19,84508,20,85530,27
Director of Housing/Student Life,85234,26,82284,26,79582,36
Director of Marketing/Communications,-,-,93393,90,94615,97
Communications Associate,-,-,70102,65,70701,63
Faculty,,,,,,
Professor,114408,1257,113440,1248,113149,1224
Associate Professor,96982,790,98680,762,99515,800
Assistant Professor,83532,644,83121,619,81861,578
Non-Ranked Faculty,86540,78,86484,62,85782,64
