"Table 2.13 Church/Denominational Affiliation of Students Currently Enrolled, Fall 2021",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All Member Schools,,,,,,,,
,MDiv,,Master of Arts,,All Other Students,,Total Schools,
Church/Denominational Affiliation,N,HC,N,HC,N,HC,N,HC
Evangelical Congregational Church,12,36,13,42,16,26,28,104
Evangelical Covenant Church,33,114,32,160,25,75,52,349
Evangelical Formosan Church,1,5,2,9,2,7,3,21
Evangelical Free Church of America,40,157,43,243,33,151,61,551
Evangelical Free Church of Canada,5,6,5,37,2,12,8,55
Evangelical Lutheran Church in America,39,781,36,186,45,283,72,1250
Evangelical Lutheran Church in Canada,3,10,5,10,6,10,10,30
Evangelical Presbyterian Church,22,126,18,75,22,66,33,267
Fellowship of Evangelical Baptist Churches in Canada,4,66,11,66,6,57,14,189
Fellowship of Grace Brethren Churches,3,14,3,24,3,5,6,43
Foursquare Gospel Church,19,35,23,54,14,29,40,118
Free Methodist Church,17,47,23,52,23,64,41,163
"Friends, Quaker",13,28,11,21,5,9,22,58
General Association of General Baptists,7,12,4,13,9,19,13,44
General Association of Regular Baptist Churches,5,5,5,7,2,5,9,17
General Baptist State Convention of North Carolina,2,13,1,4,1,8,2,25
Greek Orthodox Archdiocese of America,6,63,7,11,7,39,14,113
Heritage Reformed Congregations (USA and Canada),2,7,0,0,3,3,4,10
Independent Baptist,22,101,25,71,18,71,36,243
Independent Methodist,0,0,4,4,1,2,5,6
Inter/Multidenominational,37,117,33,129,28,73,52,319
Jewish,7,71,19,46,18,21,31,138
Korean American Presbyterian Church,16,127,18,92,19,121,26,340
Korean Evangelical Holiness Church,4,33,4,18,8,24,12,75
Korean Methodist Church in America,11,50,8,25,9,54,15,129
Korean Presbyterian Church Abroad,11,35,10,28,12,99,20,162
Korean Presbyterian Church in America (Kosin),6,24,5,41,7,51,11,116
Lutheran Church-Canada,3,11,4,7,7,12,11,30
Lutheran Church-Missouri Synod,15,377,18,105,18,421,34,903
"Lutheran, Other",38,109,33,79,51,161,82,349
Mennonite Brethren Church in North America,10,18,17,53,18,28,29,99
Mennonite Church Canada,3,17,9,19,6,11,12,47
Mennonite Church USA,18,57,11,28,10,14,24,99
"Mennonite, Other",16,34,20,72,16,21,32,127
"Methodist, Other",30,75,23,56,28,59,51,190
Missionary Church in Canada,5,6,7,8,3,10,10,24
Moravian Church in North America,4,11,1,3,4,13,7,27
Muslim,9,59,12,120,14,59,25,238
National Association of Congregational Christian Churches,6,6,1,1,8,11,14,18
National Baptist Convention,32,48,20,37,36,81,56,166
Nondenominational,149,3040,147,4250,132,1715,171,9005
North American Baptist Conference,6,31,13,41,8,27,17,99
Orthodox Church in America,4,46,6,11,5,22,11,79
Orthodox Presbyterian,11,45,9,29,8,34,17,108
"Orthodox, Other",8,49,19,44,17,77,32,170
Other,159,5220,172,7376,165,4771,208,17367
Pentecostal Assemblies of Canada,11,57,15,76,11,54,21,187
"Pentecostal, Other",66,351,59,325,59,263,96,939
Presbyterian Church (U.S.A.),84,626,65,216,79,567,114,1409
