All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Registrar,,,
Number,103,52,30
Average Salary,63564,58689,66478
Median Salary,61720,59896,66950
Average Salary and Housing,64823,-,-
Average Benefits,6917,9421,9886
Average Pension,5044,4731,6690
Total Compensation Average,76786,72842,83055
Total Compensation 25th Percentile,58530,57199,65449
Total Compensation Median,73254,73690,82787
Total Compensation 75th Percentile,88471,87066,96423
Alumni Officer,,,
Number,26,17,17
Average Salary,74172,65853,67454
Median Salary,75000,62000,65280
Average Salary and Housing,75014,67618,68534
Average Benefits,8811,9891,8523
Average Pension,5368,5857,5543
Total Compensation Average,89194,83367,82600
Total Compensation 25th Percentile,69959,51250,65428
Total Compensation Median,86708,77325,82570
Total Compensation 75th Percentile,112120,109786,94315
