"Table 2.13 Church/Denominational Affiliation of Students Currently Enrolled, Fall 2021",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All Member Schools,,,,,,,,
,MDiv,,Master of Arts,,All Other Students,,Total Schools,
Church/Denominational Affiliation,N,HC,N,HC,N,HC,N,HC
Advent Christian Church,5,10,4,14,4,31,10,55
African Methodist Episcopal,68,377,28,46,45,208,82,631
African Methodist Episcopal Zion,19,73,9,15,16,51,27,139
American Baptist Churches USA,52,176,31,91,50,162,74,429
Anglican Church of Canada,12,87,15,65,24,136,33,288
"Anglican, Other",51,199,50,240,49,224,85,663
Antiochian Orthodox Christian Archdiocese of North America,4,21,5,10,4,110,8,141
Assemblies of God,71,330,63,405,65,385,104,"1,120"
Associate Reformed Presbyterian Church,6,36,6,13,8,38,11,87
Associated Gospel Churches of Canada,4,20,4,7,7,23,9,50
Baptist,113,"1,267",114,945,104,958,151,"3,170"
Baptist Convention of Ontario and Quebec,6,19,6,17,7,35,11,71
Baptist General Association of Virginia,2,9,2,2,4,9,5,20
Baptist General Convention of Texas,4,24,7,10,3,15,7,49
Baptist Missionary Association of America,30,61,15,26,12,22,40,109
Baptist State Convention of North Carolina,2,2,3,4,2,3,4,9
"Baptist, Other",49,527,46,516,51,511,72,"1,554"
"Brethren Church (Ashland, Ohio)",4,6,3,10,3,4,6,20
Brethren in Christ Church,9,17,9,13,9,16,15,46
"Brethren, Other",6,11,9,15,8,20,15,46
Buddhist,15,59,16,61,12,19,29,139
Byzantine Catholic,4,17,6,24,4,9,8,50
Canadian Baptists of Atlantic Canada,2,31,3,16,2,46,4,93
Canadian Baptists of Western Canada,4,8,6,11,3,14,8,33
Canadian National Baptist Convention,3,13,4,8,2,2,6,23
Canadian Reformed Churches,2,21,3,5,5,10,9,36
"Catholic, Other",14,97,9,159,9,14,22,270
Christian and Missionary Alliance,34,168,54,286,38,204,69,658
Christian Brethren (Plymouth Brethren),6,6,6,10,6,13,11,29
Christian Church (Disciples of Christ),49,227,37,104,43,172,78,503
Christian Churches and Churches of Christ,18,76,20,99,15,46,32,221
Christian Methodist Episcopal,12,39,10,16,15,41,27,96
Christian Reformed Church,29,149,27,114,26,94,52,357
"Church of God (Anderson, Indiana)",13,38,18,50,17,26,34,114
"Church of God (Cleveland, Tennessee)",10,46,14,133,12,104,23,283
Church of God in Christ,38,89,20,48,23,47,56,184
Church of the Brethren,6,19,7,17,9,18,17,54
Church of the Nazarene,36,209,29,126,32,149,60,484
Churches of Christ,41,186,37,215,33,113,72,514
"Churches of Christ-Christian Churches, Other",8,13,8,35,10,23,15,71
"Churches of God, General Conference",16,32,12,37,14,35,28,104
Conference of Mennonites,2,2,1,1,3,3,5,6
Convention of Atlantic Baptist Churches,0,0,0,0,2,3,2,3
Converge Worldwide,8,35,7,46,8,26,9,107
Cooperative Baptist Fellowship,14,72,7,13,18,63,25,148
Cumberland Presbyterian Church,4,27,1,2,4,8,6,37
ECO: A Covenant Order of Evangelical Presbyterians,3,6,2,7,4,7,5,20
Episcopal Church,66,587,75,212,68,362,116,"1,161"
Evangelical Church in Canada,7,24,9,28,8,18,13,70
