Table 2.4 Total Credit Hour Enrollment,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
All Member Schools,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2017,269,266567,157354,11598,34725,16262,486506,25903,512409
2018,277,284813,182000,10778,37308,15242,530141,21740,551881
2019,275,282202,170896,5304,36542,15241,510185,27167,537352
2020,275,280780,182173,5434,38716,15134,522238,23421,545659
2021,272,259924,181538,6374,48029,16294,512159,23835,535994
United States,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2017,231,242556,137991,11223,33562,16201,441532,19532,461064
2018,238,258005,163225,10434,36297,15139,483100,17242,500342
2019,236,257145,151347,4858,35693,15086,464129,15928,480057
2020,237,258149,158285,5078,37581,14860,473953,16085,490038
2021,235,237396,157900,5730,46618,15970,463614,18717,482331
Canada,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2017,38,24012,19363,375,1163,61,44974,6371,51344
2018,39,26808,18774,345,1011,103,47041,4498,51540
2019,39,25057,19550,446,849,155,46057,11239,57295
2020,38,22632,23888,357,1135,274,48285,7336,55621
2021,37,22528,23638,644,1411,324,48545,5118,53663
Table 2.4 reports fall total credit hours enrollment over a five-year period.,,,,,,,,,
