Canada,col_1,col_2,col_3,col_4,col_5,col_6
,2019-2020,,2020-2021,,2021-2022,
,$,N,$,N,$,N
Administrators,,,,,,
Chief Executive Officer,151856,34,146425,33,170814,34
Academic VP/Academic Dean,115391,36,119416,36,123744,35
Academic Dean - Other,86495,9,94387,10,112537,7
Vice President for Administration,116290,13,117340,11,142773,9
Executive Vice President,-,2,144394,3,201235,5
Chief Development Officer,119891,18,106517,16,118228,16
Development Professional Staff,75757,8,75856,8,77973,8
Chief Financial Officer,111473,26,113116,23,112609,21
Dean of Students,102297,13,110023,12,112144,11
Director of Student Services,68132,9,75978,7,79036,7
Director of Graduate Studies,128486,6,113067,8,115140,8
Director of Doctor of Ministry,66627,8,72285,3,58233,4
Director of Field Education,89395,15,95334,16,91167,17
Director of Continuing Education,110405,4,108379,4,114667,4
Director of Formation,76165,10,79112,10,87148,9
Head Librarian - Admin./Faculty,97378,17,89296,14,96099,12
Librarian Professional Staff,79478,12,72712,16,71476,18
Information Systems Manager,84870,11,93090,11,92953,13
Admissions Officer,74026,18,76546,15,75097,17
Recruitment Officer,79361,11,84731,11,77989,14
Registrar,91257,34,90597,30,93756,31
Alumni Officer,-,1,-,2,-,2
Director of Extension/Distance Ed,77335,11,78358,10,77420,10
Financial Aid Officer,71751,8,69373,7,70587,10
Director of Assessment,89011,10,85607,8,89342,6
Director of Career/Placement Services,-,2,105805,3,98170,3
Director of Housing/Student Life,-,2,-,2,110824,3
Director of Marketing/Communications,-,-,85698,11,76233,13
Communications Associate,-,-,62733,16,66564,16
Faculty,,,,,,
Professor,123538,85,126027,84,129199,72
Associate Professor,106210,94,104126,85,105893,86
Assistant Professor,84550,58,84343,59,88121,81
Non-Ranked Faculty,114679,8,76417,9,57264,13
