"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2017",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Advent Christian Church,,1,,1,,5,,7,,5,,7,,9,
African Methodist Episcopal,,73,,484,,22,,36,,49,,207,,87,
African Methodist Episcopal Zion,,25,,94,,6,,7,,16,,49,,29,
American Baptist Churches USA,,53,,210,,17,,46,,50,,208,,75,
Anglican Church of Canada,,2,,15,,3,,4,,9,,19,,12,
"Anglican, Other",,36,,139,,14,,43,,49,,246,,63,
Assemblies of God,,65,,396,,45,,309,,66,,565,,97,
Associate Reformed Presbyterian Church,,10,,27,,4,,6,,6,,28,,12,
Associated Gospel Churches of Canada,,2,,2,,1,,1,,1,,1,,4,
Baptist,,122,,1555,,83,,672,,125,,1716,,152,
Baptist Convention of Ontario and Quebec,,0,,0,,0,,0,,1,,1,,1,
Baptist General Association of Virginia,,3,,10,,2,,6,,2,,16,,3,
Baptist General Convention of Texas,,7,,306,,4,,36,,6,,87,,8,
Baptist Missionary Association of America,,27,,71,,10,,26,,21,,44,,39,
Baptist State Convention of North Carolina,,2,,7,,2,,3,,1,,1,,3,
"Brethren Church (Ashland, Ohio)",,3,,3,,2,,3,,4,,7,,6,
Brethren in Christ Church,,8,,10,,5,,8,,6,,7,,16,
Buddhist,,8,,30,,6,,16,,8,,34,,15,
Byzantine Catholic,,3,,16,,1,,4,,5,,29,,7,
Canadian Baptist of Western Canada,,0,,0,,0,,0,,0,,0,,0,
Canadian Baptists of Atlantic Canada,,0,,0,,0,,0,,0,,0,,0,
Canadian National Baptist Convention,,3,,4,,0,,0,,1,,6,,3,
Canadian Reformed Churches,,2,,3,,0,,0,,2,,3,,3,
Christian and Missionary Alliance,,34,,130,,23,,91,,34,,222,,52,
Christian Brethren (Plymouth Brethren),,2,,3,,2,,4,,6,,18,,8,
Christian Church (Disciples of Christ),,49,,256,,13,,58,,50,,191,,71,
Christian Churches and Churches of Christ,,19,,112,,14,,110,,21,,114,,29,
Christian Methodist Episcopal,,17,,53,,10,,10,,22,,45,,33,
Christian Reformed Church,,28,,185,,16,,57,,32,,147,,44,
"Church of God (Anderson, Indiana)",,18,,28,,13,,23,,20,,41,,34,
"Church of God (Cleveland, Tennessee)",,12,,69,,9,,97,,15,,162,,25,
Church of God in Christ,,26,,75,,17,,25,,31,,57,,48,
Church of the Brethren,,12,,38,,4,,6,,14,,27,,23,
Church of the Nazarene,,31,,256,,20,,99,,34,,144,,52,
Churches of Christ,,33,,242,,26,,131,,43,,197,,62,
"Churches of God, General Conference",,17,,46,,11,,26,,13,,50,,28,
Conference of Mennonites,,2,,2,,2,,3,,2,,5,,4,
Conservative Baptist Association of America,,8,,15,,5,,13,,14,,48,,16,
Converge Worldwide,,4,,44,,4,,35,,5,,26,,6,
Cooperative Baptist Fellowship,,14,,64,,4,,5,,15,,50,,22,
Cumberland Presbyterian Church,,8,,26,,1,,1,,7,,17,,12,
Episcopal Church,,67,,574,,37,,85,,81,,564,,114,
Evangelical Church in Canada,,0,,0,,0,,0,,2,,2,,2,
Evangelical Congregational Church,,11,,30,,9,,28,,15,,28,,26,
Evangelical Covenant Church,,26,,135,,16,,83,,28,,106,,40,
Evangelical Formosan Church,,1,,6,,1,,8,,1,,19,,1,
Evangelical Free Church of America,,40,,179,,34,,107,,35,,237,,56,
Evangelical Free Church of Canada,,0,,0,,0,,0,,1,,2,,1,
Evangelical Lutheran Church in America,,53,,788,,26,,97,,53,,358,,86,
