"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2017",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Seventh Day Baptist General Conference,,1,,1,,0,,0,,0,,0,,1,
Seventh-day Adventist,,2,,4,,1,,2,,5,,8,,6,
Southern Baptist Convention,,4,,5,,1,,2,,2,,7,,6,
"Swedenborgian Church, General Convention",,0,,0,,0,,0,,0,,0,,0,
Unitarian Universalist,,1,,5,,1,,2,,3,,4,,3,
United Church of Canada,,9,,106,,5,,23,,14,,74,,17,
United Church of Christ,,1,,10,,1,,8,,2,,31,,3,
United Methodist Church,,1,,1,,0,,0,,5,,10,,5,
United Pentecostal Church International,,1,,1,,0,,0,,3,,6,,4,
Wesleyan Church,,3,,5,,0,,0,,5,,9,,6,
Wisconsin Evangelical Lutheran Synod,,0,,0,,0,,0,,0,,0,,0,
"Total 35 1,539 17 817 34 2,830 37",,,,,,,,,,,,,,,
