col_0,col_1,col_2,col_3,col_4,col_5,Expenditures,col_7,LT,col_9,col_10,Library,col_12,col_13,col_14,col_15
,,,,Prov./,,E&G,Total,Invest,Faculty,,Volumes,Enrollment,,MDiv,
Name,Status,IUC,Race,State,Denom,$thousands,,$millions,FT,FTE,(000),HC,FTE,Tuition,Fees
Mount Saint Mary's Seminary,ACCRED,C,W,MD,RC,3233,5607,10,13,17,152,141,141,24200,290
Multnomah Biblical Seminary,ACCRED,C,W,OR,NONDEN,3121,3440,2,6,13,116,159,91,13520,350
Nashotah House,ACCRED,I,W,WI,EPISC,3541,3958,11,7,8,122,67,52,15000,700
Nazarene Theological Seminary,ACCRED,I,W,MO,CHNAZ,5140,5244,11,10,10,112,221,113,11880,400
Neal T. Jones Seminary of Washington University of Virginia,ACCRED,C,M,VA,NONDEN,1846,1846,0,3,6,38,103,77,5856,230
New Brunswick Theological Seminary,ACCRED,I,M,NJ,RFCHAM,4193,4660,20,7,15,167,149,79,14232,1186
New Orleans Baptist Theological Seminary,ACCRED,I,W,LA,SBC,24839,30607,62,69,80,288,1570,909,5445,540
New York Theological Seminary,ACCRED,I,M,NY,INTER,4978,5427,0,15,15,0,347,206,19050,460
Newman Theological College,ACCRED,I,N,AB,RC,3309,3895,22,6,11,79,135,69,7242,295
North Park Theological Seminary,ACCRED,C,W,IL,EVCOV,3944,3944,0,7,7,262,144,78,14747,858
Northeastern Seminary at Roberts Wesleyan College,ACCRED,C,N,NY,INTER,1619,1619,3,5,6,140,111,74,11914,0
Northern Baptist Theological Seminary,ACCRED,I,W,IL,ABCUSA,3819,4804,17,5,15,59,217,72,18504,375
Northwest Baptist Seminary,ACCRED,I,N,BC,FEVBAPT,1184,1184,4,5,6,0,81,62,6000,700
Northwest Nazarene University Graduate School of Theology,CAND,U,W,ID,CHNAZ,539,539,0,14,17,126,89,60,8500,200
Notre Dame Seminary,ACCRED,I,W,LA,RC,7058,7099,6,21,24,93,136,98,21338,14652
Oblate School of Theology,ACCRED,I,W,TX,RC,6454,8613,26,21,23,110,140,114,14520,770
Oklahoma Christian University Graduate School of Theology,ASSOC,U,W,OK,CHUCHR,247,247,0,3,5,108,30,18,11400,600
Oral Roberts University College of Theology and Ministry,ACCRED,U,N,OK,INTER,4568,4603,0,17,21,91,316,204,15714,926
Pacific Lutheran Theological Seminary,ACCRED,U,W,CA,ELCA,3527,3618,14,5,6,0,49,44,14750,260
Pacific School of Religion,ACCRED,I,W,CA,INTER,6633,7515,38,9,13,0,114,91,19467,600
"Palm Beach Atlantic University School of Ministry Graduate
Department",CAND,U,N,FL,INTER,372,375,0,5,6,11,43,34,13440,440
Palmer Theological Seminary,ACCRED,U,B,PA,ABCUSA,2232,2232,17,6,9,175,243,172,12740,390
Payne Theological Seminary,ACCRED,I,B,OH,AME,2441,2441,0,4,16,39,187,119,12550,400
Pentecostal Theological Seminary,ACCRED,I,W,TN,COGCLEV,4520,4550,13,14,26,35,429,169,13013,463
Perkins School of Theology,ACCRED,U,W,TX,UMC,16716,16716,140,27,29,397,284,185,17350,5663
Phillips Theological Seminary,ACCRED,I,W,OK,DISCPL,4848,4848,64,8,9,105,112,61,11246,875
Phoenix Seminary,ACCRED,I,W,AZ,INTER,4875,4877,1,8,16,52,217,158,15040,225
Pittsburgh Theological Seminary,ACCRED,I,W,PA,PCUSA,10869,12500,224,14,21,294,213,141,11988,300
Pontifical College Josephinum,ACCRED,C,N,OH,RC,8331,9163,31,6,6,150,48,46,26027,0
Pope St. John XXIII National Seminary,ACCRED,I,W,MA,RC,3708,3708,5,8,13,70,70,68,33500,0
Portland Seminary,ACCRED,C,W,OR,INTER,1986,1986,3,8,12,178,308,143,13858,0
Presbyterian Theological Seminary in America,CAND,I,V,CA,KAPC,934,1110,0,1,3,35,109,59,7513,450
Princeton Theological Seminary,ACCRED,I,W,NJ,PCUSA,66919,76473,1071,43,55,704,502,488,15500,4530
Providence Theological Seminary,ACCRED,C,W,MB,INTER,2086,2409,0,11,13,86,159,65,7350,585
Puritan Reformed Theological Seminary,ACCRED,I,V,MI,HERREF,3298,3349,0,9,11,101,178,67,7188,0
Queen's College Faculty of Theology,ASSOC,I,W,NL,ANGL,367,367,4,0,6,2450,155,81,3025,0
Reformed Episcopal Seminary,ACCRED,I,W,PA,RFEPISC,688,688,0,7,10,37,12,11,10710,630
Reformed Presbyterian Theological Seminary,ACCRED,I,W,PA,RFPRES,1879,1941,2,3,6,83,127,69,12456,0
Reformed Theological Seminary,ACCRED,I,W,MS,INTER,19796,20763,77,34,54,355,1059,520,18197,160
Regent College,ACCRED,I,W,BC,INTER,7718,8536,22,11,18,158,416,211,14550,0
Regent University School of Divinity,ACCRED,U,N,VA,INTER,12243,12426,0,16,19,155,1025,790,11880,1500
Regis College,ACCRED,I,W,ON,RC,2725,2725,7,8,13,81,130,76,6500,1748
Sacred Heart Major Seminary,ACCRED,I,W,MI,RC,5595,5595,0,15,20,157,155,104,27843,60
Sacred Heart Seminary and School of Theology,ACCRED,I,V,WI,RC,6046,6912,10,14,18,98,99,80,18450,100
Saint John's Seminary (MA),ACCRED,C,W,MA,RC,8004,8004,49,10,18,173,141,103,22650,0
Saint John's University School of Theology and Seminary,ACCRED,C,W,MN,RC,3550,3754,21,2,2,456,96,67,16506,380
Saint Mary Seminary and Graduate School of Theology,ACCRED,I,W,OH,RC,2554,2554,1,11,16,80,93,58,10120,550
Saint Meinrad School of Theology,ACCRED,C,W,IN,RC,7858,9917,39,17,24,182,166,126,25137,2900
Saint Paul School of Theology,ACCRED,I,W,KS,UMC,5300,5300,32,11,16,34,117,95,16274,1200
