"Table 2.15 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2017",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,"Ministerial
Non-MDiv",,"General
Theological",,"Advanced
Ministerial",,"Advanced
Research",,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Midwestern Baptist Theological Seminary,,434,246,126,101,375,194,491,247,388,332,0,0,"1,814","1,120"
Montreal School of Theology,,37,28,0,0,0,0,0,0,1,1,10,3,48,32
Moody Theological Seminary,,308,243,215,171,110,73,0,0,0,0,43,16,676,503
Moravian Theological Seminary,,18,15,27,16,19,8,0,0,0,0,18,6,82,45
Mount Angel Seminary,,75,72,0,0,30,9,12,4,0,0,0,0,117,85
Mount Saint Mary's Seminary,,108,108,0,0,33,33,0,0,0,0,0,0,141,141
Multnomah Biblical Seminary,,64,42,40,21,31,18,17,6,5,3,2,1,159,91
Nashotah House,,20,20,20,18,9,8,12,4,6,2,0,0,67,52
Nazarene Theological Seminary,,149,80,33,17,19,10,20,7,0,0,0,0,221,114
"Neal T. Jones Seminary of Washington University of
Virginia",,33,24,57,44,0,0,13,9,0,0,0,0,103,77
New Brunswick Theological Seminary,,93,55,0,0,22,13,34,11,0,0,0,0,149,79
New Orleans Baptist Theological Seminary,,787,459,281,155,113,43,180,93,113,112,96,46,"1,570",908
New York Theological Seminary,,127,98,93,66,0,0,127,42,0,0,0,0,347,206
Newman Theological College,,28,25,99,39,6,3,0,0,2,2,0,0,135,69
North Park Theological Seminary,,87,43,53,32,4,3,0,0,0,0,0,0,144,78
Northeastern Seminary at Roberts Wesleyan College,,43,37,13,10,17,15,38,13,0,0,0,0,111,75
Northern Baptist Theological Seminary,,39,24,51,1,61,24,64,21,0,0,2,1,217,71
Northwest Baptist Seminary,,52,52,0,0,0,0,29,10,0,0,0,0,81,62
"Northwest Nazarene University Graduate School of
Theology",,55,35,34,25,0,0,0,0,0,0,0,0,89,60
Notre Dame Seminary,,90,76,7,7,39,15,0,0,0,0,0,0,136,98
Oblate School of Theology,,84,77,16,9,26,15,1,0,13,13,0,0,140,114
"Oklahoma Christian University Graduate School of
Theology",,14,9,5,2,11,7,0,0,0,0,0,0,30,18
Oral Roberts University College of Theology and Ministry,,126,99,106,71,17,12,67,22,0,0,0,0,316,204
Pacific Lutheran Theological Seminary,,42,39,0,0,2,2,0,0,0,0,5,3,49,44
Pacific School of Religion,,59,58,0,0,21,18,22,7,0,0,12,7,114,90
"Palm Beach Atlantic University School of Ministry
Graduate Department",,39,33,0,0,4,1,0,0,0,0,0,0,43,34
Palmer Theological Seminary,,121,97,0,0,105,70,17,6,0,0,0,0,243,173
Payne Theological Seminary,,128,99,0,0,0,0,59,20,0,0,0,0,187,119
Pentecostal Theological Seminary,,58,26,111,40,37,13,69,23,0,0,154,67,429,169
Perkins School of Theology,,126,93,33,21,19,10,60,25,42,36,4,1,284,186
Phillips Theological Seminary,,48,33,5,3,16,9,34,11,0,0,9,4,112,60
Phoenix Seminary,,87,71,84,62,31,20,8,3,0,0,7,3,217,159
Pittsburgh Theological Seminary,,93,86,8,5,6,4,81,27,5,4,20,15,213,141
Pontifical College Josephinum,,43,43,0,0,5,3,0,0,0,0,0,0,48,46
Pope St. John XXIII National Seminary,,70,68,0,0,0,0,0,0,0,0,0,0,70,68
Portland Seminary,,64,39,50,30,29,19,165,55,0,0,0,0,308,143
Presbyterian Theological Seminary in America,,109,59,0,0,0,0,0,0,0,0,0,0,109,59
Princeton Theological Seminary,,347,340,8,8,38,37,0,0,102,98,7,5,502,488
Providence Theological Seminary,,17,8,118,48,8,3,16,5,0,0,0,0,159,64
Puritan Reformed Theological Seminary,,34,26,0,0,14,9,0,0,50,25,80,7,178,67
Queen's College Faculty of Theology,,4,3,0,0,23,9,0,0,11,3,117,65,155,80
Reformed Episcopal Seminary,,12,11,0,0,0,0,0,0,0,0,0,0,12,11
Reformed Presbyterian Theological Seminary,,67,44,0,0,21,12,32,11,0,0,7,2,127,69
Reformed Theological Seminary,,399,257,98,75,319,110,186,62,0,0,57,16,"1,059",520
Regent College,,85,55,0,0,213,114,0,0,16,6,102,36,416,211
Regent University School of Divinity,,541,457,197,148,119,84,93,31,75,70,0,0,"1,025",790
Regis College,,29,22,20,6,41,17,5,2,33,29,2,1,130,77
