"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2017",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Seventh Day Baptist General Conference,,3,,3,,0,,0,,1,,1,,4,
Seventh-day Adventist,,25,,485,,13,,672,,40,,563,,54,
Southern Baptist Convention,,52,,"4,630",,35,,"1,514",,55,,"4,913",,70,
"Swedenborgian Church, General Convention",,2,,4,,0,,0,,2,,5,,3,
Unitarian Universalist,,34,,269,,8,,15,,24,,48,,41,
United Church of Canada,,1,,1,,0,,0,,7,,11,,8,
United Church of Christ,,54,,358,,16,,22,,60,,209,,74,
United Methodist Church,,100,,"2,362",,64,,362,,104,,"1,097",,131,
United Pentecostal Church International,,21,,82,,16,,69,,22,,97,,32,
Wesleyan Church,,26,,152,,14,,99,,27,,94,,45,
Wisconsin Evangelical Lutheran Synod,,0,,0,,1,,1,,5,,8,,6,
"Total 217 26,518 157 11,116 212 29,318 227",,,,,,,,,,,,,,,
