"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2017",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Advent Christian Church,,0,,0,,0,,0,,0,,0,,0,
African Methodist Episcopal,,1,,1,,0,,0,,1,,2,,2,
African Methodist Episcopal Zion,,0,,0,,0,,0,,0,,0,,0,
American Baptist Churches USA,,0,,0,,0,,0,,3,,3,,3,
Anglican Church of Canada,,13,,100,,6,,10,,20,,108,,23,
"Anglican, Other",,4,,15,,1,,5,,6,,147,,6,
Assemblies of God,,2,,12,,1,,1,,4,,18,,5,
Associate Reformed Presbyterian Church,,0,,0,,0,,0,,1,,1,,1,
Associated Gospel Churches of Canada,,4,,11,,2,,2,,5,,27,,8,
Baptist,,11,,72,,8,,19,,14,,91,,17,
Baptist Convention of Ontario and Quebec,,6,,24,,0,,0,,6,,27,,7,
Baptist General Association of Virginia,,0,,0,,0,,0,,0,,0,,0,
Baptist General Convention of Texas,,0,,0,,0,,0,,0,,0,,0,
Baptist Missionary Association of America,,0,,0,,0,,0,,1,,1,,1,
Baptist State Convention of North Carolina,,0,,0,,0,,0,,0,,0,,0,
"Brethren Church (Ashland, Ohio)",,0,,0,,0,,0,,0,,0,,0,
Brethren in Christ Church,,3,,18,,0,,0,,3,,22,,3,
Buddhist,,1,,1,,2,,22,,1,,1,,2,
Byzantine Catholic,,2,,6,,1,,1,,2,,8,,2,
Canadian Baptist of Western Canada,,3,,14,,3,,10,,5,,21,,7,
Canadian Baptists of Atlantic Canada,,3,,27,,0,,0,,3,,85,,4,
Canadian National Baptist Convention,,2,,12,,1,,6,,3,,9,,3,
Canadian Reformed Churches,,3,,19,,0,,0,,3,,9,,4,
Christian and Missionary Alliance,,12,,85,,10,,53,,13,,120,,17,
Christian Brethren (Plymouth Brethren),,2,,2,,1,,1,,3,,5,,4,
Christian Church (Disciples of Christ),,2,,3,,0,,0,,1,,2,,2,
Christian Churches and Churches of Christ,,0,,0,,1,,8,,3,,11,,3,
Christian Methodist Episcopal,,0,,0,,0,,0,,0,,0,,0,
Christian Reformed Church,,8,,20,,1,,2,,6,,27,,10,
"Church of God (Anderson, Indiana)",,2,,2,,0,,0,,1,,1,,2,
"Church of God (Cleveland, Tennessee)",,0,,0,,0,,0,,0,,0,,0,
Church of God in Christ,,1,,1,,0,,0,,1,,1,,2,
Church of the Brethren,,2,,2,,0,,0,,1,,2,,2,
Church of the Nazarene,,2,,2,,1,,4,,3,,6,,5,
Churches of Christ,,2,,4,,0,,0,,4,,8,,5,
"Churches of God, General Conference",,4,,4,,1,,1,,1,,1,,5,
Conference of Mennonites,,2,,2,,1,,2,,1,,1,,2,
Conservative Baptist Association of America,,0,,0,,0,,0,,0,,0,,0,
Converge Worldwide,,1,,2,,1,,1,,1,,3,,2,
Cooperative Baptist Fellowship,,0,,0,,0,,0,,0,,0,,0,
Cumberland Presbyterian Church,,0,,0,,0,,0,,0,,0,,0,
Episcopal Church,,3,,7,,1,,1,,6,,14,,8,
Evangelical Church in Canada,,2,,10,,2,,5,,4,,20,,6,
Evangelical Congregational Church,,1,,2,,0,,0,,2,,3,,2,
Evangelical Covenant Church,,1,,1,,2,,3,,4,,5,,6,
Evangelical Formosan Church,,2,,2,,0,,0,,1,,1,,2,
Evangelical Free Church of America,,1,,1,,0,,0,,2,,5,,2,
Evangelical Free Church of Canada,,6,,15,,4,,18,,6,,45,,8,
Evangelical Lutheran Church in America,,0,,0,,0,,0,,2,,2,,2,
