"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2017",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Lutheran Church in Canada,,3,,14,,1,,1,,3,,11,,4,
Evangelical Presbyterian Church,,2,,3,,0,,0,,2,,2,,2,
Fellowship of Evangelical Baptist Churches in Canada,,5,,75,,0,,0,,9,,103,,10,
Fellowship of Grace Brethren Churches,,0,,0,,0,,0,,0,,0,,0,
Foursquare Gospel Church,,1,,1,,0,,0,,1,,1,,2,
Free Methodist Church,,5,,16,,2,,2,,4,,9,,8,
"Friends, Quaker",,1,,1,,0,,0,,0,,0,,1,
General Association of General Baptists,,1,,1,,1,,1,,1,,2,,1,
General Association of Regular Baptist Churches,,0,,0,,1,,2,,1,,1,,1,
General Baptist State Convention of North Carolina,,0,,0,,0,,0,,0,,0,,0,
Greek Orthodox Archdiocese of America,,0,,0,,0,,0,,0,,0,,0,
Heritage Reformed Congregations (USA and Canada),,0,,0,,0,,0,,0,,0,,0,
Independent Baptist,,1,,1,,0,,0,,3,,3,,3,
Independent Methodist,,0,,0,,0,,0,,2,,3,,2,
Inter/Multidenominational,,2,,4,,2,,7,,5,,10,,7,
Jewish,,0,,0,,2,,4,,0,,0,,2,
Korean American Presbyterian Church,,4,,16,,1,,2,,4,,60,,5,
Korean Evangelical Holiness Church,,1,,1,,0,,0,,1,,1,,2,
Lutheran Church-Canada,,3,,19,,3,,3,,5,,14,,8,
Lutheran Church-Missouri Synod,,1,,1,,0,,0,,1,,2,,1,
"Lutheran, Other",,5,,5,,1,,2,,7,,11,,10,
Mennonite Brethren Church in North America,,6,,18,,6,,18,,11,,51,,13,
Mennonite Church Canada,,4,,10,,3,,9,,7,,14,,10,
Mennonite Church USA,,0,,0,,0,,0,,0,,0,,0,
"Mennonite, Other",,3,,4,,3,,11,,3,,4,,5,
Missionary Church in Canada,,3,,3,,2,,9,,5,,14,,6,
Moravian Church in North America,,0,,0,,0,,0,,1,,1,,1,
Muslim,,0,,0,,1,,16,,3,,14,,3,
National Association of Congregational Christian Churches,,0,,0,,0,,0,,0,,0,,0,
National Baptist Convention,,0,,0,,0,,0,,1,,1,,1,
Nondenominational,,12,,98,,4,,35,,12,,130,,15,
North American Baptist Conference,,3,,20,,4,,8,,4,,9,,8,
Orthodox Church in America,,0,,0,,1,,3,,1,,1,,2,
Orthodox Presbyterian,,0,,0,,0,,0,,0,,0,,0,
"Orthodox, Other",,2,,6,,0,,0,,5,,9,,5,
Other,,20,,223,,9,,240,,23,,796,,26,
Pentecostal Assemblies of Canada,,10,,72,,9,,25,,14,,142,,20,
Presbyterian Church (U.S.A.),,1,,1,,0,,0,,4,,8,,5,
Presbyterian Church in America,,2,,4,,0,,0,,3,,7,,3,
Presbyterian Church in Canada,,11,,92,,5,,13,,14,,51,,19,
Presbyterian Church International,,2,,2,,2,,3,,3,,12,,4,
Progressive National Baptist Convention,,0,,0,,0,,0,,0,,0,,0,
Reformed Church in America,,2,,2,,0,,0,,0,,0,,2,
Reformed Church in Canada,,2,,3,,0,,0,,2,,2,,3,
Reformed Episcopal Church,,1,,1,,0,,0,,1,,1,,2,
Reformed Presbyterian,,0,,0,,0,,0,,2,,2,,2,
Religious Society of Friends,,0,,0,,0,,0,,0,,0,,0,
Roman Catholic,,7,,179,,10,,186,,19,,290,,22,
Salvation Army,,2,,6,,2,,5,,7,,26,,7,
