"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2017",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Seventh Day Baptist General Conference,,4,,4,,0,,0,,1,,1,,5,
Seventh-day Adventist,,27,,489,,14,,674,,45,,571,,60,
Southern Baptist Convention,,56,,"4,635",,36,,"1,516",,57,,"4,920",,76,
"Swedenborgian Church, General Convention",,2,,4,,0,,0,,2,,5,,3,
Unitarian Universalist,,35,,274,,9,,17,,27,,52,,44,
United Church of Canada,,10,,107,,5,,23,,21,,85,,25,
United Church of Christ,,55,,368,,17,,30,,62,,240,,77,
United Methodist Church,,101,,"2,363",,64,,362,,109,,"1,107",,136,
United Pentecostal Church International,,22,,83,,16,,69,,25,,103,,36,
Wesleyan Church,,29,,157,,14,,99,,32,,103,,51,
Wisconsin Evangelical Lutheran Synod,,0,,0,,1,,1,,5,,8,,6,
"Total 252 28,057 174 11,933 246 32,148 264",,,,,,,,,,,,,,,
