"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2017",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Lutheran Church in Canada,,3,,4,,0,,0,,2,,7,,4,
Evangelical Presbyterian Church,,26,,105,,12,,40,,25,,116,,36,
Fellowship of Evangelical Baptist Churches in Canada,,1,,1,,1,,1,,2,,2,,4,
Fellowship of Grace Brethren Churches,,2,,4,,3,,6,,6,,12,,8,
Foursquare Gospel Church,,17,,39,,14,,45,,15,,48,,25,
Free Methodist Church,,15,,54,,15,,26,,17,,55,,31,
"Friends, Quaker",,12,,16,,8,,11,,9,,15,,23,
General Association of General Baptists,,8,,22,,3,,3,,16,,43,,16,
General Association of Regular Baptist Churches,,3,,3,,1,,1,,7,,13,,9,
General Baptist State Convention of North Carolina,,1,,12,,1,,2,,1,,2,,1,
Greek Orthodox Archdiocese of America,,8,,67,,1,,1,,9,,24,,13,
Heritage Reformed Congregations (USA and Canada),,0,,0,,0,,0,,1,,8,,1,
Independent Baptist,,22,,74,,15,,34,,23,,153,,36,
Independent Methodist,,11,,25,,7,,16,,9,,77,,18,
Inter/Multidenominational,,29,,95,,19,,46,,28,,168,,47,
Jewish,,11,,25,,5,,6,,21,,51,,27,
Korean American Presbyterian Church,,18,,254,,11,,115,,19,,153,,26,
Korean Evangelical Holiness Church,,6,,20,,2,,8,,6,,28,,8,
Lutheran Church-Canada,,0,,0,,0,,0,,1,,1,,1,
Lutheran Church-Missouri Synod,,11,,382,,10,,48,,24,,376,,30,
"Lutheran, Other",,37,,95,,18,,36,,43,,182,,64,
Mennonite Brethren Church in North America,,5,,9,,6,,14,,4,,7,,10,
Mennonite Church Canada,,1,,1,,2,,2,,2,,3,,4,
Mennonite Church USA,,21,,83,,7,,20,,19,,62,,34,
"Mennonite, Other",,10,,17,,7,,12,,14,,26,,21,
Missionary Church in Canada,,3,,4,,1,,1,,0,,0,,3,
Moravian Church in North America,,6,,15,,2,,3,,3,,7,,7,
Muslim,,9,,32,,5,,10,,16,,107,,22,
National Association of Congregational Christian Churches,,4,,4,,1,,1,,7,,12,,10,
National Baptist Convention,,31,,68,,5,,9,,32,,70,,42,
Nondenominational,,122,,"2,478",,77,,"2,166",,122,,"2,769",,139,
North American Baptist Conference,,6,,21,,6,,10,,7,,23,,13,
Orthodox Church in America,,4,,39,,1,,3,,4,,21,,8,
Orthodox Presbyterian,,11,,59,,5,,9,,12,,46,,15,
"Orthodox, Other",,10,,55,,2,,2,,22,,81,,27,
Other,,151,,"2,818",,99,,"1,763",,159,,"6,717",,184,
Pentecostal Assemblies of Canada,,3,,5,,5,,9,,6,,14,,10,
Presbyterian Church (U.S.A.),,97,,874,,52,,173,,96,,816,,126,
Presbyterian Church in America,,41,,666,,23,,266,,37,,602,,58,
Presbyterian Church in Canada,,1,,1,,2,,3,,2,,2,,4,
Presbyterian Church International,,10,,38,,4,,7,,14,,149,,18,
Progressive National Baptist Convention,,10,,14,,0,,0,,11,,13,,17,
Reformed Church in America,,32,,197,,14,,32,,32,,136,,46,
Reformed Church in Canada,,0,,0,,0,,0,,2,,3,,2,
Reformed Episcopal Church,,2,,4,,1,,2,,7,,8,,9,
Reformed Presbyterian,,13,,60,,4,,12,,16,,55,,24,
Religious Society of Friends,,6,,28,,2,,3,,9,,20,,13,
Roman Catholic,,86,,"2,534",,61,,904,,90,,"2,772",,129,
Salvation Army,,9,,12,,9,,46,,10,,39,,19,
