"Table 2.15 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2017",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,"Ministerial
Non-MDiv",,"General
Theological",,"Advanced
Ministerial",,"Advanced
Research",,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Christ the King Seminary,,32,21,33,13,13,7,0,0,0,0,0,0,78,41
Christian Theological Seminary,,69,56,40,30,9,4,17,6,10,10,0,0,145,106
Christian Witness Theological Seminary,,24,22,21,13,10,2,8,3,0,0,9,4,72,44
Church Divinity School of the Pacific,,58,53,0,0,15,9,0,0,0,0,13,5,86,67
Cincinnati Bible Seminary,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claremont School of Theology,,145,105,0,0,64,39,77,26,115,115,9,4,410,289
Colgate Rochester Crozer Divinity School,,32,30,0,0,7,7,35,12,0,0,0,0,74,49
"Columbia Biblical Seminary of Columbia International
University",,147,114,53,36,35,19,17,6,0,0,0,0,252,175
Columbia Theological Seminary,,115,104,14,11,17,12,147,63,12,12,0,0,305,202
Concordia Lutheran Seminary (AB),,16,16,0,0,0,0,0,0,0,0,0,0,16,16
Concordia Lutheran Theological Seminary (ON),,5,3,0,0,5,2,0,0,0,0,5,3,15,8
Concordia Seminary (MO),,208,159,11,10,12,9,38,13,121,99,141,140,531,430
Concordia Theological Seminary (IN),,157,113,22,15,11,6,22,7,47,38,31,10,290,189
Covenant Theological Seminary,,214,172,147,125,103,37,40,13,13,6,0,0,517,353
Dallas Theological Seminary,,0,0,782,374,579,181,162,93,719,467,127,30,"2,369","1,145"
Denver Seminary,,292,170,367,234,89,33,92,31,13,7,50,13,903,488
Dominican House of Studies,,63,63,0,0,15,15,0,0,0,0,22,16,100,94
Dominican School of Philosophy and Theology,,6,5,0,0,30,25,0,0,0,0,24,14,60,44
Dominican Study Center of the Caribbean,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew University Theological School,,150,134,7,5,19,13,77,26,67,66,0,0,320,244
Duke University Divinity School,,372,371,27,27,58,58,83,28,59,59,0,0,599,543
Earlham School of Religion,,43,26,0,0,6,3,0,0,0,0,10,2,59,31
Eastern Mennonite Seminary,,55,36,11,5,2,1,0,0,0,0,37,19,105,61
Ecumenical Theological Seminary,,23,23,17,14,1,1,33,11,0,0,12,6,86,55
Eden Theological Seminary,,106,75,0,0,12,10,30,10,0,0,0,0,148,95
Emmanuel Christian Seminary at Milligan,,64,40,28,25,8,4,8,3,0,0,0,0,108,72
Emmanuel College of Victoria University,,42,25,76,39,10,5,4,1,45,44,4,1,181,115
Erskine Theological Seminary,,63,34,6,4,13,6,31,10,3,3,0,0,116,57
Evangelical Seminary of Puerto Rico,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evangelical Theological Seminary,,60,43,35,29,9,5,0,0,0,0,0,0,104,77
Franciscan School of Theology,,23,15,0,0,18,11,0,0,0,0,0,0,41,26
Freed-Hardeman University Graduate School of Theology,,23,16,19,12,25,16,0,0,0,0,0,0,67,44
Fresno Pacific Biblical Seminary,,30,13,119,47,24,9,0,0,0,0,0,0,173,69
Fuller Theological Seminary,,710,352,549,223,423,204,980,369,153,147,82,24,"2,897","1,319"
Garrett-Evangelical Theological Seminary,,133,133,28,26,16,15,40,13,62,62,34,10,313,259
Gateway Seminary,,315,136,70,36,136,52,136,45,31,28,609,337,"1,297",634
General Theological Seminary,,18,18,9,7,1,1,0,0,5,5,11,3,44,34
"George W. Truett Theological Seminary of Baylor
University",,270,237,26,17,11,5,35,12,0,0,6,1,348,272
Georgia Central University School of Divinity,,23,22,19,19,9,9,9,3,13,13,0,0,73,66
Gordon-Conwell Theological Seminary,,517,358,333,189,284,138,421,140,48,28,131,49,"1,734",902
Grace Mission University Graduate School,,92,45,54,40,0,0,0,0,0,0,0,0,146,85
Grace School of Theology,,98,58,90,46,57,33,8,3,7,2,0,0,260,142
Grace Theological Seminary,,14,11,7,3,0,0,68,60,0,0,0,0,89,74
Graduate Theological Union,,0,0,0,0,20,14,0,0,161,161,7,2,188,177
Grand Canyon Theological Seminary,,252,224,366,308,0,0,0,0,0,0,33,33,651,565
"Grand Rapids Theological Seminary of Cornerstone
University",,74,51,118,73,0,0,0,0,2,1,5,1,199,126
Harding School of Theology,,64,30,22,9,10,7,12,4,0,0,12,5,120,55
