"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2018",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Religious Society of Friends,,0,,0,,0,,0,,0,,0,,0,
Roman Catholic,,10,,201,,12,,171,,18,,266,,25,
Salvation Army,,2,,8,,3,,12,,6,,30,,8,
Seventh Day Baptist General Conference,,1,,1,,0,,0,,0,,0,,1,
Seventh-day Adventist,,3,,5,,2,,2,,3,,5,,5,
Southern Baptist Convention,,3,,4,,3,,5,,5,,16,,7,
"Swedenborgian Church, General Convention",,0,,0,,0,,0,,0,,0,,0,
Unitarian Universalist,,2,,4,,2,,2,,3,,7,,3,
United Church of Canada,,9,,107,,3,,25,,11,,91,,15,
United Church of Christ,,1,,12,,0,,0,,2,,2,,3,
United Methodist Church,,0,,0,,0,,0,,3,,3,,3,
United Pentecostal Church International,,2,,3,,0,,0,,2,,5,,4,
Wesleyan Church,,2,,5,,0,,0,,5,,11,,6,
Wisconsin Evangelical Lutheran Synod,,0,,0,,0,,0,,0,,0,,0,
"Total 36 1,649 19 791 34 2,778 39",,,,,,,,,,,,,,,
