col_0,STATUS AT END OF CALENDAR YEAR,col_2
School Name,2017,2018
Academy for Jewish Religion,n/a,Associate
Antiochian House of Studies,n/a,Associate
Catholic Distance University Graduate School of Theology,n/a,Associate
Central Baptist Theological Seminary of Minneapolis,Candidate,Accredited
Cincinnati Bible Seminary,Accredited,Withdrawn
Heritage Theological Seminary,Candidate,Accredited
Kearley Graduate School of Theology,Candidate,Accredited
King's Seminary,n/a,Associate
Liberty University Rawlings School of Divinity,n/a,Associate
Marylhurst University Religious Studies Graduate Department,Associate,Withdrawn
Methodist Theological Seminary in America,n/a,Associate
NAIITS: An Indigenous Learning Community,n/a,Associate
Northwest Nazarene University Graduate School of Theology,Candidate,Accredited
Oakwood University School of Religion,n/a,Associate
Presbyterian Theological Seminary in America,Candidate,Accredited
Robert E. Webber Institute for Worship Studies,n/a,Associate
Shepherd University School of Theology,Withdrawn,Terminated
Southeastern University School of Divinity,Associate,Candidate
St. Mark's College,Candidate,Accredited
Wisconsin Lutheran Seminary,n/a,Associate
