"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2018",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Religious Society of Friends,,5,,27,,2,,2,,8,,14,,10,
Roman Catholic,,82,,"2,571",,56,,"1,021",,95,,"2,943",,131,
Salvation Army,,8,,12,,8,,47,,12,,41,,19,
Seventh Day Baptist General Conference,,3,,3,,0,,0,,2,,4,,5,
Seventh-day Adventist,,28,,527,,15,,731,,40,,616,,57,
Southern Baptist Convention,,53,,"4,691",,42,,"1,650",,61,,"5,116",,78,
"Swedenborgian Church, General Convention",,2,,2,,0,,0,,4,,4,,5,
Unitarian Universalist,,33,,222,,9,,19,,24,,58,,42,
United Church of Canada,,4,,80,,3,,79,,10,,24,,11,
United Church of Christ,,57,,341,,13,,19,,50,,208,,70,
United Methodist Church,,95,,"2,285",,58,,353,,99,,"1,102",,129,
United Pentecostal Church International,,24,,133,,18,,89,,28,,133,,37,
Wesleyan Church,,27,,142,,19,,121,,27,,93,,44,
Wisconsin Evangelical Lutheran Synod,,1,,114,,1,,1,,7,,41,,8,
"Total 222 28,936 164 12,191 216 31,070 236",,,,,,,,,,,,,,,
