"Table 2.15 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2018",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,"Ministerial
Non-MDiv",,"General
Theological",,"Advanced
Ministerial",,"Advanced
Research",,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Talbot School of Theology,,287,157,134,71,575,252,184,68,47,43,0,0,"1,227",591
Taylor College and Seminary,,36,23,7,4,20,8,0,0,0,0,27,12,90,47
Toronto School of Theology,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinity College Faculty of Divinity,,38,24,0,0,32,10,6,2,13,12,0,0,89,48
Trinity Episcopal School for Ministry,,64,45,0,0,65,35,62,21,6,2,0,0,197,103
Trinity Evangelical Divinity School,,240,212,80,59,281,138,98,33,245,234,8,3,952,679
Trinity Lutheran Seminary at Capital University,,29,26,4,2,7,5,11,4,0,0,8,2,59,39
Tyndale University College & Seminary,,479,285,0,0,225,94,54,18,7,3,102,29,867,429
Union Presbyterian Seminary,,126,122,16,13,0,0,0,0,9,9,0,0,151,144
Union Theological Seminary,,151,141,0,0,42,39,10,3,37,35,0,0,240,218
United Lutheran Seminary,,186,171,15,9,16,7,35,12,40,17,86,11,378,227
United Theological Seminary,,199,147,32,19,11,7,167,56,0,0,47,15,456,244
United Theological Seminary of the Twin Cities,,59,47,8,5,14,9,17,6,0,0,0,0,98,67
University of Chicago Divinity School,,48,34,0,0,90,57,0,0,143,143,0,0,281,234
University of Dubuque Theological Seminary,,68,52,5,5,0,0,37,12,0,0,0,0,110,69
University of Notre Dame Department of Theology,,49,49,0,0,123,123,0,0,112,112,0,0,284,284
University of St. Mary of the Lake Mundelein Seminary,,157,157,14,6,38,38,1,0,17,13,0,0,227,214
University of St. Michael's College,,15,15,34,17,42,3,2,1,38,34,0,0,131,70
University of St. Thomas School of Theology,,82,70,75,30,19,13,0,0,0,0,0,0,176,113
University of the South School of Theology,,52,51,0,0,9,9,57,19,26,10,0,0,144,89
Urshan Graduate School of Theology,,20,20,31,28,34,33,0,0,0,0,0,0,85,81
Vancouver School of Theology,,65,39,18,12,9,6,0,0,5,3,17,8,114,68
Vanderbilt University Divinity School,,120,108,0,0,52,44,0,0,0,0,0,0,172,152
"Villanova University Department of Theology and
Religious Studies",,0,0,14,11,23,19,0,0,16,16,0,0,53,46
Virginia Theological Seminary,,91,91,0,0,15,13,73,26,0,0,9,8,188,138
Wake Forest University School of Divinity,,125,117,0,0,0,0,0,0,0,0,0,0,125,117
Wartburg Theological Seminary,,112,108,9,6,0,0,0,0,0,0,55,18,176,132
Wesley Biblical Seminary,,32,20,0,0,24,15,17,6,0,0,37,20,110,61
Wesley Seminary at Indiana Wesleyan University,,163,119,236,161,0,0,65,22,0,0,0,0,464,302
Wesley Theological Seminary,,248,160,0,0,85,35,161,54,0,0,0,0,494,249
Western Seminary,,178,105,242,146,138,64,84,57,29,5,88,34,759,411
Western Theological Seminary,,152,89,0,0,43,20,56,19,5,5,48,13,304,146
Westminster Theological Seminary,,243,208,205,134,69,52,91,30,125,86,11,6,744,516
Westminster Theological Seminary in California,,97,78,0,0,30,20,0,0,0,0,0,0,127,98
Winebrenner Theological Seminary,,18,9,27,16,0,0,5,2,0,0,0,0,50,27
Wisconsin Lutheran Seminary,,114,48,0,0,0,0,0,0,30,5,0,0,144,53
World Mission University School of Theology,,73,72,95,75,21,14,21,14,0,0,0,0,210,175
Wycliffe College,,65,36,0,0,81,31,4,1,81,80,19,5,250,153
Yale University Divinity School,,181,163,0,0,178,160,0,0,31,20,0,0,390,343
