"Table 2.15 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2018",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,"Ministerial
Non-MDiv",,"General
Theological",,"Advanced
Ministerial",,"Advanced
Research",,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Chicago Theological Seminary,,149,78,2,1,17,8,12,4,48,44,5,2,233,137
China Evangelical Seminary North America,,18,14,30,23,16,7,0,0,5,3,0,0,69,47
Christ the King Seminary,,30,21,22,8,11,6,0,0,0,0,0,0,63,35
Christian Theological Seminary,,66,52,35,29,7,4,16,5,10,10,4,2,138,102
Christian Witness Theological Seminary,,20,16,21,10,7,2,12,4,1,1,23,6,84,39
Church Divinity School of the Pacific,,49,41,0,0,19,11,0,0,0,0,19,10,87,62
Claremont School of Theology,,159,116,0,0,62,35,81,27,112,112,4,2,418,292
Colgate Rochester Crozer Divinity School,,24,19,0,0,6,5,47,16,0,0,0,0,77,40
"Columbia Biblical Seminary of Columbia International
University",,126,105,43,28,40,21,16,5,0,0,0,0,225,159
Columbia Theological Seminary,,109,98,15,12,16,9,138,63,9,9,0,0,287,191
Concordia Lutheran Seminary (AB),,13,13,0,0,0,0,0,0,0,0,0,0,13,13
Concordia Lutheran Theological Seminary (ON),,7,5,0,0,5,2,0,0,0,0,5,5,17,12
Concordia Seminary (MO),,191,149,8,8,21,11,40,13,130,107,159,62,549,350
Concordia Theological Seminary (IN),,158,115,29,20,6,3,19,6,51,41,38,9,301,194
Covenant Theological Seminary,,207,152,203,136,110,40,35,12,6,2,0,0,561,342
Dallas Theological Seminary,,0,0,765,373,608,188,150,85,673,436,121,29,"2,317","1,111"
Denver Seminary,,306,176,336,192,90,37,85,28,8,3,57,18,882,454
Dominican House of Studies,,72,72,0,0,14,14,0,0,0,0,0,0,86,86
Dominican School of Philosophy and Theology,,11,10,0,0,43,35,0,0,0,0,16,11,70,56
Dominican Study Center of the Caribbean,,17,14,0,0,23,13,0,0,0,0,0,0,40,27
Drew University Theological School,,160,143,11,10,12,8,88,29,68,66,0,0,339,256
Duke University Divinity School,,362,362,37,36,61,60,92,31,48,48,0,0,600,537
Earlham School of Religion,,34,17,0,0,6,3,0,0,0,0,2,2,42,22
Eastern Mennonite Seminary,,46,30,16,7,2,0,0,0,0,0,18,9,82,46
Ecumenical Theological Seminary,,23,20,14,10,0,0,31,10,0,0,0,0,68,40
Eden Theological Seminary,,105,64,0,0,10,7,36,12,0,0,6,1,157,84
Emmanuel Christian Seminary at Milligan,,84,77,0,0,43,28,10,3,0,0,0,0,137,108
Emmanuel College of Victoria University,,29,21,84,46,11,3,5,2,46,44,6,2,181,118
Erskine Theological Seminary,,43,17,7,3,22,11,34,11,5,4,0,0,111,46
Evangelical Seminary of Puerto Rico,,140,102,0,0,21,13,3,1,0,0,3,1,167,117
Evangelical Theological Seminary,,45,34,36,29,12,7,0,0,28,28,0,0,121,98
Franciscan School of Theology,,18,13,0,0,31,16,0,0,0,0,0,0,49,29
Freed-Hardeman University Graduate School of Theology,,23,15,19,12,23,12,0,0,0,0,0,0,65,39
Fresno Pacific Biblical Seminary,,28,22,131,90,11,7,0,0,0,0,0,0,170,119
Fuller Theological Seminary,,645,313,409,153,526,250,943,362,159,149,106,30,"2,788","1,257"
Garrett-Evangelical Theological Seminary,,125,125,32,31,13,13,47,16,51,51,33,9,301,245
Gateway Seminary,,298,130,89,45,147,55,140,47,30,29,427,227,"1,131",533
General Theological Seminary,,18,18,9,8,4,3,0,0,1,1,10,5,42,35
"George W. Truett Theological Seminary of Baylor
University",,257,228,19,11,12,6,29,10,0,0,5,0,322,255
Georgia Central University School of Divinity,,22,17,36,28,0,0,14,5,13,13,0,0,85,63
Gordon-Conwell Theological Seminary,,460,303,321,167,286,135,410,137,22,14,197,71,"1,696",827
Grace Mission University Graduate School,,90,45,53,41,0,0,0,0,0,0,0,0,143,86
Grace School of Theology,,99,62,123,64,63,34,5,2,5,2,0,0,295,164
Grace Theological Seminary,,21,11,19,6,0,0,61,54,0,0,0,0,101,71
Graduate Theological Union,,0,0,0,0,45,35,0,0,156,156,0,0,201,191
Grand Canyon Theological Seminary,,273,216,283,227,0,0,0,0,0,0,41,34,597,477
"Grand Rapids Theological Seminary of Cornerstone
University",,71,46,119,65,0,0,0,0,2,1,3,1,195,113
