Membership Status,2009,2014,2017,2018
"Accredited United States 201 210 216 219
Canada 33 35 34 36
Total 234 245 250 255",,,,
"Candidate United States 8 10 9 6
Canada 1 1 2 0
Total 9 11 11 6",,,,
"Associate United States 6 14 6 13
Canada 2 5 3 4
Total 8 19 9 17",,,,
"Totals United States 215 234 231 238
Canada 36 41 39 40
All Schools 251 275 270 278",,,,
