"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2018",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Advent Christian Church,,2,,2,,0,,0,,5,,6,,6,
African Methodist Episcopal,,71,,440,,15,,24,,49,,206,,84,
African Methodist Episcopal Zion,,20,,88,,2,,2,,15,,41,,28,
American Baptist Churches USA,,44,,171,,20,,41,,49,,206,,63,
Anglican Church of Canada,,3,,18,,5,,5,,13,,28,,17,
"Anglican, Other",,34,,154,,20,,56,,48,,255,,66,
"Antiochian Orthodox Christian Archdiocese of North
America",,3,,24,,0,,0,,4,,142,,5,
Assemblies of God,,63,,379,,46,,284,,69,,616,,97,
Associate Reformed Presbyterian Church,,6,,21,,5,,5,,10,,39,,13,
Associated Gospel Churches of Canada,,0,,0,,1,,5,,3,,9,,3,
Baptist,,126,,"1,742",,84,,755,,136,,"1,827",,158,
Baptist Convention of Ontario and Quebec,,0,,0,,1,,1,,1,,1,,2,
Baptist General Association of Virginia,,4,,13,,1,,2,,3,,21,,5,
Baptist General Convention of Texas,,5,,290,,5,,27,,6,,84,,6,
Baptist Missionary Association of America,,23,,64,,11,,25,,18,,40,,30,
Baptist State Convention of North Carolina,,2,,16,,2,,5,,3,,6,,4,
"Brethren Church (Ashland, Ohio)",,2,,2,,2,,2,,5,,8,,6,
Brethren in Christ Church,,5,,5,,5,,7,,8,,11,,14,
Buddhist,,10,,40,,5,,16,,9,,29,,17,
Byzantine Catholic,,2,,14,,1,,10,,5,,8,,6,
Canadian Baptist of Western Canada,,0,,0,,0,,0,,0,,0,,0,
Canadian Baptists of Atlantic Canada,,0,,0,,0,,0,,0,,0,,0,
Canadian National Baptist Convention,,2,,2,,1,,1,,2,,5,,3,
Canadian Reformed Churches,,1,,1,,0,,0,,2,,2,,3,
Christian and Missionary Alliance,,27,,129,,27,,89,,34,,234,,49,
Christian Brethren (Plymouth Brethren),,3,,6,,3,,5,,12,,24,,14,
Christian Church (Disciples of Christ),,53,,290,,18,,47,,50,,206,,77,
Christian Churches and Churches of Christ,,12,,103,,15,,82,,26,,157,,31,
Christian Methodist Episcopal,,17,,51,,3,,3,,24,,49,,35,
Christian Reformed Church,,29,,185,,13,,56,,38,,137,,49,
"Church of God (Anderson, Indiana)",,17,,46,,15,,27,,22,,43,,39,
"Church of God (Cleveland, Tennessee)",,14,,88,,8,,102,,20,,207,,26,
Church of God in Christ,,31,,82,,20,,31,,29,,50,,52,
Church of the Brethren,,10,,30,,4,,5,,16,,25,,23,
Church of the Nazarene,,33,,234,,18,,73,,39,,155,,55,
Churches of Christ,,33,,231,,28,,142,,45,,195,,64,
"Churches of God, General Conference",,16,,32,,10,,23,,14,,46,,24,
Conference of Mennonites,,1,,2,,0,,0,,2,,3,,2,
Conservative Baptist Association of America,,5,,8,,6,,20,,9,,40,,13,
Converge Worldwide,,5,,47,,8,,47,,6,,43,,8,
Cooperative Baptist Fellowship,,18,,78,,2,,3,,18,,51,,25,
Cumberland Presbyterian Church,,4,,22,,2,,2,,10,,20,,12,
Episcopal Church,,64,,589,,38,,86,,83,,548,,111,
Evangelical Church in Canada,,0,,0,,0,,0,,1,,1,,1,
Evangelical Congregational Church,,13,,28,,6,,20,,14,,37,,21,
Evangelical Covenant Church,,27,,132,,18,,87,,32,,113,,45,
Evangelical Formosan Church,,1,,5,,1,,8,,2,,15,,2,
Evangelical Free Church of America,,39,,179,,30,,114,,41,,263,,57,
