"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2018",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Free Church of Canada,,5,,12,,7,,22,,5,,24,,8,
Evangelical Lutheran Church in America,,45,,820,,22,,115,,56,,380,,78,
Evangelical Lutheran Church in Canada,,4,,21,,1,,4,,6,,11,,9,
Evangelical Presbyterian Church,,26,,113,,13,,45,,22,,131,,36,
Fellowship of Evangelical Baptist Churches in Canada,,7,,73,,2,,3,,7,,87,,10,
Fellowship of Grace Brethren Churches,,4,,7,,2,,5,,5,,9,,7,
Foursquare Gospel Church,,21,,36,,15,,41,,14,,62,,31,
Free Methodist Church,,22,,60,,17,,32,,31,,81,,45,
"Friends, Quaker",,12,,18,,6,,10,,11,,21,,23,
General Association of General Baptists,,11,,24,,6,,8,,15,,47,,18,
General Association of Regular Baptist Churches,,2,,2,,0,,0,,6,,9,,6,
General Baptist State Convention of North Carolina,,3,,15,,1,,1,,1,,6,,3,
Greek Orthodox Archdiocese of America,,5,,63,,3,,3,,14,,65,,20,
Heritage Reformed Congregations (USA and Canada),,1,,4,,0,,0,,1,,6,,1,
Independent Baptist,,25,,118,,12,,22,,24,,160,,37,
Independent Methodist,,10,,28,,7,,9,,13,,44,,19,
Inter/Multidenominational,,43,,199,,28,,216,,39,,249,,58,
Jewish,,11,,63,,6,,9,,16,,40,,25,
Korean American Presbyterian Church,,25,,283,,17,,112,,21,,226,,30,
Korean Evangelical Holiness Church,,3,,16,,5,,19,,9,,28,,12,
Korean Methodist Church in America,,13,,38,,7,,22,,12,,35,,21,
Lutheran Church-Canada,,5,,20,,3,,5,,6,,12,,12,
Lutheran Church-Missouri Synod,,16,,371,,9,,54,,23,,422,,31,
"Lutheran, Other",,40,,91,,23,,45,,46,,188,,72,
Mennonite Brethren Church in North America,,9,,22,,10,,31,,15,,43,,23,
Mennonite Church Canada,,6,,16,,6,,15,,8,,22,,14,
Mennonite Church USA,,20,,73,,8,,19,,17,,44,,30,
"Mennonite, Other",,14,,27,,9,,23,,22,,48,,28,
Missionary Church in Canada,,4,,4,,3,,5,,7,,15,,9,
Moravian Church in North America,,3,,6,,2,,4,,5,,14,,7,
Muslim,,9,,29,,9,,30,,18,,144,,26,
National Association of Congregational Christian Churches,,7,,190,,4,,143,,6,,104,,11,
National Baptist Convention,,30,,55,,7,,14,,35,,86,,44,
Nondenominational,,127,,"2,697",,85,,"2,006",,132,,"3,313",,150,
North American Baptist Conference,,7,,40,,8,,13,,16,,50,,19,
Orthodox Church in America,,4,,70,,3,,27,,9,,54,,11,
Orthodox Presbyterian,,9,,61,,7,,9,,15,,70,,20,
"Orthodox, Other",,16,,53,,8,,11,,26,,196,,38,
Other,,167,,"4,719",,122,,"2,483",,180,,"7,365",,209,
Pentecostal Assemblies of Canada,,14,,93,,13,,31,,20,,162,,28,
Presbyterian Church (U.S.A.),,90,,803,,50,,149,,96,,756,,126,
Presbyterian Church in America,,43,,683,,26,,248,,44,,631,,58,
Presbyterian Church in Canada,,10,,81,,6,,18,,13,,130,,20,
Presbyterian Church International,,12,,36,,5,,14,,23,,188,,28,
Progressive National Baptist Convention,,9,,11,,1,,1,,11,,14,,18,
Reformed Church in America,,27,,198,,13,,23,,36,,128,,51,
Reformed Church in Canada,,1,,1,,0,,0,,5,,6,,6,
Reformed Episcopal Church,,4,,9,,0,,0,,8,,10,,10,
Reformed Presbyterian,,11,,54,,3,,3,,15,,57,,20,
