"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2018",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Advent Christian Church,,0,,0,,1,,1,,1,,1,,2,
African Methodist Episcopal,,1,,2,,0,,0,,1,,1,,1,
African Methodist Episcopal Zion,,0,,0,,0,,0,,0,,0,,0,
American Baptist Churches USA,,1,,1,,0,,0,,1,,1,,2,
Anglican Church of Canada,,11,,92,,9,,25,,21,,203,,25,
"Anglican, Other",,6,,18,,1,,1,,8,,38,,10,
"Antiochian Orthodox Christian Archdiocese of North
America",,0,,0,,0,,0,,0,,0,,0,
Assemblies of God,,3,,8,,1,,1,,5,,17,,6,
Associate Reformed Presbyterian Church,,0,,0,,0,,0,,1,,1,,1,
Associated Gospel Churches of Canada,,3,,12,,3,,3,,7,,27,,9,
Baptist,,12,,65,,4,,15,,11,,89,,16,
Baptist Convention of Ontario and Quebec,,5,,25,,1,,2,,7,,35,,8,
Baptist General Association of Virginia,,0,,0,,0,,0,,0,,0,,0,
Baptist General Convention of Texas,,0,,0,,0,,0,,0,,0,,0,
Baptist Missionary Association of America,,0,,0,,0,,0,,1,,2,,1,
Baptist State Convention of North Carolina,,0,,0,,0,,0,,0,,0,,0,
"Brethren Church (Ashland, Ohio)",,0,,0,,0,,0,,0,,0,,0,
Brethren in Christ Church,,4,,17,,2,,2,,4,,17,,6,
Buddhist,,1,,1,,2,,23,,2,,6,,3,
Byzantine Catholic,,1,,5,,1,,1,,1,,1,,1,
Canadian Baptist of Western Canada,,4,,21,,3,,18,,5,,15,,8,
Canadian Baptists of Atlantic Canada,,4,,29,,0,,0,,3,,74,,6,
Canadian National Baptist Convention,,1,,10,,1,,4,,3,,7,,3,
Canadian Reformed Churches,,4,,17,,0,,0,,3,,3,,5,
Christian and Missionary Alliance,,11,,74,,9,,51,,11,,119,,15,
Christian Brethren (Plymouth Brethren),,2,,2,,0,,0,,3,,8,,3,
Christian Church (Disciples of Christ),,2,,3,,0,,0,,1,,2,,2,
Christian Churches and Churches of Christ,,0,,0,,0,,0,,0,,0,,0,
Christian Methodist Episcopal,,0,,0,,1,,1,,0,,0,,1,
Christian Reformed Church,,9,,25,,3,,11,,8,,39,,11,
"Church of God (Anderson, Indiana)",,1,,1,,0,,0,,2,,2,,2,
"Church of God (Cleveland, Tennessee)",,1,,1,,0,,0,,0,,0,,1,
Church of God in Christ,,1,,1,,0,,0,,0,,0,,1,
Church of the Brethren,,1,,1,,0,,0,,2,,3,,3,
Church of the Nazarene,,2,,4,,1,,3,,4,,4,,7,
Churches of Christ,,2,,5,,0,,0,,5,,7,,5,
"Churches of God, General Conference",,4,,5,,0,,0,,1,,1,,5,
Conference of Mennonites,,1,,1,,0,,0,,0,,0,,1,
Conservative Baptist Association of America,,0,,0,,0,,0,,1,,1,,1,
Converge Worldwide,,2,,5,,1,,1,,2,,6,,2,
Cooperative Baptist Fellowship,,0,,0,,0,,0,,0,,0,,0,
Cumberland Presbyterian Church,,0,,0,,0,,0,,0,,0,,0,
Episcopal Church,,3,,9,,0,,0,,2,,9,,4,
Evangelical Church in Canada,,1,,10,,2,,2,,5,,10,,7,
Evangelical Congregational Church,,1,,1,,0,,0,,3,,10,,3,
Evangelical Covenant Church,,1,,1,,1,,1,,3,,4,,4,
Evangelical Formosan Church,,1,,1,,0,,0,,0,,0,,1,
Evangelical Free Church of America,,3,,3,,0,,0,,2,,7,,3,
