col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Director of Financial Aid,,,,,,
Number,3,5,7,1,1,1
Average Salary,-,76551,91660,-,-,-
Median Salary,-,-,87550,-,-,-
Average Salary and Housing,-,76551,91660,-,-,-
Average Benefits,-,19216,21688,-,-,-
Average Pension,-,3208,9725,-,-,-
Total Compensation Average,-,98975,123073,-,-,-
Total Compensation 25th Percentile,-,86528,84770,-,-,-
Total Compensation Median,-,101502,119162,-,-,-
Total Compensation 75th Percentile,-,107112,138245,-,-,-
Director of Formation,,,,,,
Number,17,21,9,3,4,1
Average Salary,65536,81685,86248,-,-,-
Median Salary,63848,80000,95959,-,-,-
Average Salary and Housing,68050,89146,88548,-,-,-
Average Benefits,14267,10479,17515,-,-,-
Average Pension,6207,6329,4724,-,-,-
Total Compensation Average,88524,105953,110787,-,-,-
Total Compensation 25th Percentile,56626,73164,94215,-,-,-
Total Compensation Median,90727,110590,104095,-,-,-
Total Compensation 75th Percentile,103138,139064,126066,-,-,-
Director of Graduate Studies,,,,,,
Number,4,3,5,-,3,3
Average Salary,-,-,86012,-,-,-
Median Salary,-,-,-,-,-,-
Average Salary and Housing,-,-,86012,-,-,-
Average Benefits,-,-,9259,-,-,-
Average Pension,-,-,5665,-,-,-
Total Compensation Average,-,-,100936,-,-,-
Total Compensation 25th Percentile,-,-,15120,-,-,-
Total Compensation Median,-,-,112225,-,-,-
Total Compensation 75th Percentile,-,-,113221,-,-,-
Director of Housing/Student Life,,,,,,
Number,1,9,4,-,2,1
Average Salary,-,78814,-,-,-,-
Median Salary,-,76321,-,-,-,-
Average Salary and Housing,-,78814,-,-,-,-
Average Benefits,-,12759,-,-,-,-
Average Pension,-,4861,-,-,-,-
Total Compensation Average,-,96434,-,-,-,-
Total Compensation 25th Percentile,-,56778,-,-,-,-
Total Compensation Median,-,99080,-,-,-,-
Total Compensation 75th Percentile,-,129400,-,-,-,-
