All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Assessment,,,
Number,9,9,8
Average Salary,74268,71794,67568
Median Salary,77418,68455,67212
Average Salary and Housing,74268,71794,67568
Average Benefits,2025,11913,9819
Average Pension,3698,4578,8776
Total Average,79991,88285,86163
25th percentile,60616,63000,64043
Median,77418,88967,76939
75th percentile,91152,106206,84460
Business Office Manager,,,
Number,8,23,17
Average Salary,65004,78339,81323
Median Salary,61550,79043,84390
Average Salary and Housing,65004,78339,84500
Average Benefits,10745,12530,11291
Average Pension,3855,5383,8111
Total Average,79603,96251,103902
25th percentile,41721,73366,79416
Median,91048,90400,96566
75th percentile,98159,117875,117441
Director of Communications,,,
Number,8,15,16
Average Salary,90878,88885,90806
Median Salary,67074,80000,90000
Average Salary and Housing,90878,91285,90806
Average Benefits,23632,17576,12521
Average Pension,6589,8219,7193
Total Average,121099,117080,110519
25th percentile,63600,86098,74502
Median,95734,102884,106314
75th percentile,143174,130073,128267
