All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Marketing,,,
Number,9,14,12
Average Salary,97088,78453,97327
Median Salary,82490,75000,89000
Average Salary and Housing,97088,78453,97327
Average Benefits,10719,8090,11898
Average Pension,9066,7256,6794
Total Average,116872,93798,116020
25th percentile,67569,82332,90212
Median,103608,83346,104409
75th percentile,118206,106239,144929
"Director of Online Education/Distance Learning/Digital
Learning",,,
Number,7,18,17
Average Salary,75717,97005,81365
Median Salary,83566,85000,75741
Average Salary and Housing,75717,97005,82292
Average Benefits,5612,9960,17942
Average Pension,3727,7473,8593
Total Average,85056,114438,108827
25th percentile,57500,69000,83418
Median,90087,105410,101700
75th percentile,114158,145527,120930
Director of Career/Placement Services,,,
Number,2,5,2
Average Salary,-,60772,-
Median Salary,-,62915,-
Average Salary and Housing,-,60772,-
Average Benefits,-,12982,-
Average Pension,-,2375,-
Total Average,-,76129,-
25th percentile,-,15000,-
Median,-,85187,-
75th percentile,-,104629,-
