All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2016,,2021,,2024,,2025,
Enrollment size,N,%,N,%,N,%,N,%
< 75,57,21%,64,24%,68,24%,66,24%
75 - 150,88,32%,80,29%,89,32%,81,29%
151 - 300,71,26%,69,25%,68,24%,79,28%
301 - 500,26,10%,30,11%,25,9%,18,6%
501 - 1000,16,6%,14,5%,14,5%,16,6%
> 1000,14,5%,14,5%,16,6%,17,6%
Not Reporting,2,1%,1,0%,1,0%,3,1%
Total,274,100%,272,100%,281,100%,280,100%
