All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,"Chief Executive Officer
(CEO)",,"Chief Academic Officer
(CAO)",,"Accreditation Liaison
Officer (ALO)",,Executive Vice President,
Number,199,33,185,25,14,-,28,1
Average Salary,180615,126351,113352,89827,79351,-,145092,-
Median Salary,165000,109620,110000,89774,80000,-,144935,-
Average Salary and Housing,189677,129992,117386,90806,79351,-,145778,-
Average Benefits,18524,6191,14429,4509,8781,-,17412,-
Average Pension,12364,7693,8010,6465,5001,-,13558,-
Total Compensation Average,220566,143875,139825,101781,93133,-,176748,-
"Total Compensation 25th
Percentile",121603,98197,103280,78856,74971,-,124382,-
Total Compensation Median,205000,136044,133895,98382,80000,-,178136,-
"Total Compensation 75th
Percentile",282113,180141,176372,119786,116238,-,225396,-
,VP-Administration,,VP/Director-HR,,Chief Development Officer,,Chief Diversity Officer,
Number,36,4,32,2,78,7,5,-
Average Salary,116949,-,112284,-,131819,82824,120021,-
Median Salary,104000,-,102743,-,129189,70587,-,-
Average Salary and Housing,122625,-,113222,-,133890,82824,120021,-
Average Benefits,19107,-,15293,-,15853,4580,20393,-
Average Pension,9872,-,9954,-,10805,9262,7874,-
Total Compensation Average,151604,-,138469,-,160547,96666,148288,-
"Total Compensation 25th
Percentile",108590,-,98802,-,119911,44525,68126,-
Total Compensation Median,138032,-,123200,-,159000,81152,148500,-
"Total Compensation 75th
Percentile",174087,-,162210,-,195346,93900,205127,-
,VP-Finance (CFO),,"Chief Information Officer
(CIO)",,"VP-Operations/Facilities
(COO)",,Academic Dean - Other,
Number,109,14,7,-,25,3,84,5
Average Salary,143780,80695,126067,-,129698,-,106072,62373
Median Salary,140454,80197,127500,-,124190,-,102000,-
Average Salary and Housing,145071,80695,126067,-,130479,-,106697,62373
Average Benefits,14263,3656,13461,-,15375,-,17056,3393
Average Pension,11709,5059,8852,-,10645,-,8907,3261
Total Compensation Average,171044,89410,148379,-,156499,-,132660,69027
"Total Compensation 25th
Percentile",121502,83710,104064,-,109242,-,104735,5317
Total Compensation Median,170000,87696,156341,-,156492,-,125562,79214
"Total Compensation 75th
Percentile",210206,106125,180000,-,181547,-,155840,94757
