"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2025",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
"Abilene Christian University Graduate School of
Theology",,67,37,52,24,0,0,21,18,0,0,41,13,181,92
Academy for Jewish Religion,,73,41,3,2,0,0,0,0,0,0,14,3,90,46
Acadia Divinity College,,53,36,47,22,0,0,28,9,0,0,81,52,209,119
Ambrose Seminary of Ambrose University,,30,23,76,48,0,0,0,0,0,0,70,32,176,103
America Evangelical University Seminary,,77,57,50,38,0,0,10,14,43,56,0,0,180,165
Anabaptist Mennonite Biblical Seminary,,31,16,63,23,0,0,20,10,0,0,48,15,162,64
Anderson University School of Theology,,18,8,30,13,0,0,0,0,0,0,4,2,52,23
Antiochian House of Studies,,49,57,0,0,131,90,0,0,8,7,116,101,304,255
Aquinas Institute of Theology,,45,46,25,10,0,0,23,9,0,0,14,6,107,71
Asbury Theological Seminary,,414,253,796,430,18,5,274,114,115,62,15,6,1632,870
Ashland Theological Seminary,,46,25,127,80,0,0,20,13,0,0,3,1,196,119
Assemblies of God Theological Seminary,,66,42,209,98,5,1,100,49,30,12,4,1,414,203
"Associated Canadian Theological Schools (ACTS)
of Trinity Western University",,56,35,154,79,1,1,25,10,0,0,61,21,297,146
Athenaeum of Ohio,,47,43,16,12,0,0,0,0,0,0,102,59,165,114
Atlantic School of Theology,,33,19,13,5,0,0,0,0,0,0,24,16,70,40
Augustine Institute,,0,0,427,144,0,0,0,0,0,0,25,8,452,152
Austin Presbyterian Theological Seminary,,70,60,26,23,0,0,61,28,0,0,2,1,159,112
Azusa Pacific Seminary,,44,48,13,13,0,0,57,51,0,0,0,0,114,112
"B. H. Carroll Theological Seminary at East Texas
Baptist University",,16,9,60,35,0,0,6,5,24,13,1,1,107,63
"Baptist Missionary Association Theological
Seminary",,18,10,25,9,0,0,0,0,0,0,4,2,47,21
"Barry University Department of Theology and
Philosophy",,0,0,22,11,0,0,13,7,0,0,0,0,35,18
Beeson Divinity School of Samford University,,102,96,42,24,3,1,0,0,19,13,3,1,169,135
Berkeley Divinity School,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley School of Theology (CA),,20,13,23,12,0,0,55,43,0,0,30,22,128,90
Bethany Theological Seminary,,14,10,27,17,0,0,0,0,0,0,29,12,70,39
Bethel Seminary of Bethel University,,58,33,134,79,0,0,47,30,0,0,22,10,261,152
"Bexley Hall Seabury-Western Theological Seminary
Federation, Inc.",,41,20,0,0,0,0,29,2,0,0,39,15,109,37
"Boston College Clough School of Theology and
Ministry",,43,43,160,110,16,10,0,0,22,11,73,52,314,226
Boston University School of Theology,,107,99,51,48,16,14,48,40,46,22,9,3,277,226
Briercrest College and Seminary,,4,3,116,55,0,0,0,0,0,0,33,21,153,79
Brite Divinity School at Texas Christian University,,58,39,63,37,0,0,25,12,10,6,7,2,163,96
BSK Theological Seminary,,43,26,7,3,0,0,0,0,0,0,7,3,57,32
"Byzantine Catholic Seminary of SS. Cyril and
Methodius",,12,4,19,6,0,0,0,0,0,0,2,1,33,11
Calvin Theological Seminary,,110,81,150,86,32,12,8,6,42,22,36,13,378,220
Campbell University Divinity School,,59,43,30,16,0,0,17,16,0,0,0,0,106,75
Canadian Baptist Theological Seminary,,25,13,18,12,0,0,0,0,0,0,1,0,44,25
Canadian Reformed Theological Seminary,,23,29,0,0,0,0,0,0,0,0,3,2,26,31
Candler School of Theology of Emory University,,304,277,64,48,10,8,93,78,0,0,36,21,507,432
Carey Theological College,,20,7,17,5,0,0,0,0,0,0,7,2,44,14
"Catholic International University Graduate School of
Theology",,0,0,82,71,0,0,0,0,0,0,15,12,97,83
Catholic Theological Union,,98,81,81,38,0,0,57,57,0,0,9,4,245,180
"Catholic University of America School of Theology
and Religious Studies",,69,70,106,49,0,0,50,15,64,32,0,2,289,168
