All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Chief Executive Officer (CEO),,,
Number,65,90,66
Average Salary,146230,170789,213636
Median Salary,130000,153611,208000
Average Salary and Housing,151728,176786,227792
Average Benefits,14084,18172,19685
Average Pension,8990,11467,16076
Total Average,174802,206425,263552
25th percentile,109620,121000,161277
Median,160930,179500,239132
75th percentile,215336,272957,314791
Chief Academic Officer (CAO),,,
Number,63,86,53
Average Salary,104065,104692,133990
Median Salary,100146,105000,133900
Average Salary and Housing,106864,109304,137721
Average Benefits,12282,12240,16940
Average Pension,6649,7391,10728
Total Average,125796,128936,165389
25th percentile,98382,95915,120014
Median,126321,125177,160220
75th percentile,141878,150532,196806
Accreditation Liaison Officer (ALO),,,
Number,-,5,9
Average Salary,-,72568,83120
Median Salary,-,79750,80000
Average Salary and Housing,-,72568,83120
Average Benefits,-,4885,10945
Average Pension,-,4543,5256
Total Average,-,81996,99321
25th percentile,-,59555,67998
Median,-,80000,92600
75th percentile,-,91117,124418
