"Table 2.13 Church/Denominational Affiliation of Students Currently Enrolled, Fall 2025",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All Member Schools,,,,,,,,
,MDiv,,Master of Arts,,All Other Students,,Total Schools,
Church/Denominational Affiliation,N,HC,N,HC,N,HC,N,HC
Episcopal Church,56,516,64,171,73,362,109,"1,049"
Evangelical Church in Canada,3,11,10,40,8,19,11,70
Evangelical Congregational Church,13,45,17,63,15,48,27,156
Evangelical Covenant Church,22,80,24,146,26,104,47,330
Evangelical Formosan Church,1,1,1,6,1,1,1,8
Evangelical Free Church of America,30,123,38,180,29,108,52,411
Evangelical Free Church of Canada,3,3,4,14,6,9,7,26
Evangelical Lutheran Church in America,32,503,25,149,41,282,58,934
Evangelical Lutheran Church in Canada,2,7,7,7,6,15,11,29
Evangelical Presbyterian Church,17,90,19,62,15,54,27,206
Fellowship of Evangelical Baptist Churches in Canada,9,49,10,98,8,48,11,195
Fellowship of Grace Brethren Churches,1,8,2,21,1,10,2,39
Foursquare Gospel Church,8,15,15,45,9,22,17,82
Free Methodist Church,17,54,15,61,23,54,36,169
"Friends, Quaker",7,10,10,14,7,11,19,35
General Assembly of World Presbyterian Church,1,16,2,8,1,28,2,52
General Association of General Baptists,3,4,2,4,5,8,7,16
General Association of Regular Baptist Churches,3,6,4,5,4,8,8,19
General Baptist State Convention of North Carolina,3,4,3,11,3,4,6,19
Global Methodist Church,6,206,6,125,9,86,10,417
Greek Orthodox Archdiocese of America,4,68,9,50,5,73,13,191
Heritage Reformed Congregations (USA and Canada),1,7,1,7,2,9,2,23
Independent Baptist,17,86,21,87,20,87,30,260
Independent Methodist,4,21,3,18,6,15,8,54
Inter/Multidenominational,32,118,25,75,25,62,46,255
Jewish,15,100,18,62,17,33,38,195
Korean American Presbyterian Church,13,82,11,79,11,69,16,230
Korean Evangelical Holiness Church,6,34,6,32,3,28,9,94
Korean Methodist Church in America,7,28,8,14,7,24,10,66
Korean Presbyterian Church Abroad,7,15,6,21,15,92,16,128
Korean Presbyterian Church in America (Kosin),5,60,5,16,5,13,7,89
Lutheran Church-Canada,2,10,5,7,6,9,10,26
Lutheran Church-Missouri Synod,15,347,18,97,19,373,33,817
Lutheran Congregations in Mission for Christ,4,34,3,9,4,9,4,52
"Lutheran, Other",39,124,38,118,53,177,76,419
Mennonite Brethren Church in North America,8,23,15,63,12,31,20,117
Mennonite Church Canada,3,4,7,13,5,9,8,26
Mennonite Church USA,8,34,13,24,12,63,19,121
"Mennonite, Other",7,10,18,67,12,20,29,97
"Methodist, Other",37,175,35,120,27,151,61,446
Missionary Church in Canada,2,3,1,1,3,4,4,8
Moravian Church in North America,2,6,1,2,3,8,4,16
Muslim,5,46,12,143,12,68,18,257
National Association of Congregational Christian Churches,6,11,3,9,7,10,11,30
"National Baptist Convention of America, Intl. Inc.",2,9,2,3,2,4,5,16
"National Baptist Convention, USA Inc.",18,32,19,28,24,60,38,120
Nondenominational,143,"2,697",150,"4,532",130,"2,016",169,"9,245"
North American Baptist Conference,7,26,8,31,6,16,14,73
North American Lutheran Church,5,15,2,7,3,18,7,40
