All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Doctor of Ministry,,,
Number,-,7,10
Average Salary,-,78563,90687
Median Salary,-,90983,90000
Average Salary and Housing,-,78563,93441
Average Benefits,-,10333,19434
Average Pension,-,6650,3564
Total Average,-,95546,116439
25th percentile,-,58350,105513
Median,-,110456,110746
75th percentile,-,116821,129168
Director of Enrollment Management,,,
Number,5,16,10
Average Salary,101321,108801,113287
Median Salary,105406,89110,111240
Average Salary and Housing,101321,108801,113287
Average Benefits,8126,12556,19032
Average Pension,4587,6877,11796
Total Average,114034,128233,144115
25th percentile,84240,72100,119704
Median,115200,103056,133847
75th percentile,131837,162553,165520
Facilities Director,,,
Number,11,16,15
Average Salary,84630,78557,96504
Median Salary,77970,75000,87999
Average Salary and Housing,84630,80807,96984
Average Benefits,16522,17732,14896
Average Pension,5606,7231,8778
Total Average,106758,105770,120659
25th percentile,68225,71251,99941
Median,88120,98276,109060
75th percentile,110144,132645,117276
