United States,col_1,col_2,col_3,col_4,col_5,col_6
,2023-2024,,2024-2025,,2025-2026,
,$,N,$,N,$,N
Administrators,,,,,,
Chief Executive Officer (CEO),213100,187,219547,180,225864,190
Chief Academic Officer (CAO),136868,175,136647,174,142281,178
Accreditation Liaison Officer (ALO),75768,6,93419,13,93133,14
Executive Vice President,175941,28,165939,27,179446,27
VP-Administration,139531,37,145468,40,151603,36
VP/Director-HR,140065,22,133602,27,140524,31
Chief Development Officer,153260,84,156624,77,161483,77
Chief Diversity Officer,124460,7,132442,7,148288,5
VP-Finance (CFO),151886,109,159186,109,172744,107
Chief Information Officer (CIO),144531,6,158795,6,148379,7
VP-Operations/Facilities (COO),161682,21,155129,27,159380,24
Academic Dean - Other,119358,93,129363,81,132659,84
Dean of Chapel/Chaplain,99819,19,95806,25,108435,27
Dean of Students,109524,63,113736,58,120702,59
Dean of International Student Services,-,3,-,4,-,4
Director/Chair of Academic Degree Program,97948,45,97778,53,104878,58
Director of Admissions,84842,35,85193,42,89713,44
Director of Advancement,123449,15,115295,18,134175,26
Director of Assessment,82666,34,82070,28,85726,25
Business Office Manager,79427,31,91876,47,96186,48
Director of Communications,106279,25,112110,35,119342,36
Director of Doctor of Ministry,88648,20,95574,22,107836,17
Director of Enrollment Management,120399,27,120437,27,131066,31
Facilities Director,109238,21,114452,33,115487,39
Director of Field Education,87684,49,91438,48,99468,47
Director of Financial Aid,93383,9,98317,19,100934,18
Director of Formation,105737,49,107471,53,116219,51
Director of Graduate Studies,86196,21,93784,24,105137,17
Director of Housing/Student Life,90414,11,87419,13,99458,15
Director of Institutional Effectiveness,99715,6,106533,8,114062,9
Director of Institutional Research,82144,6,99997,9,113601,6
Director of IT,117054,71,119093,70,124968,68
Director of Library,95332,94,98900,95,100497,94
Director of Continuing Education/Lifelong Learning,108703,47,108324,47,114822,37
Director of Marketing,107999,48,105440,39,113981,30
Director of Online Education/Distance Learning/Digital Learning,99386,38,96650,44,109153,41
