Table 2.8 Full-Time Equivalent Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
All Member Schools,,,,,
,2021,2022,2023,2024,2025
Master's Degree Programs,,,,,
MDiv,20238,19380,18760,18786,19237
MA (prof),8475,8364,7494,7861,8553
MA (acad),6087,6013,5207,5297,5488
MA (both),1102,1807,1583,1942,1901
Subtotal MA,15663,16184,14283,15101,15943
ThM/STM,744,728,486,519,524
Doctoral Degree Programs,,,,,
DMin,3210,3398,6595,6772,7007
Other Prof Dr,1596,1508,1043,1077,1105
Subtotal DMin and Other Prof Dr,4806,4906,7638,7849,8112
PhD/ThD,4017,4113,2870,3074,3263
Non-Degree Programs,,,,,
NonDegree,2405,2242,2357,2786,3172
Total,47873,47553,46394,48114,50250
