Table 2.7 Head Count Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
United States,,,,,
,2021,2022,2023,2024,2025
Master's Degree Programs,,,,,
MDiv,27664,26378,24853,24768,25367
MA (prof),12868,12682,12769,13581,13994
MA (acad),11147,10403,10113,10135,10492
MA (both),1572,2839,3209,3679,3601
Subtotal MA,25587,25924,26091,27395,28087
ThM/STM,1172,1165,1132,1059,1134
Doctoral Degree Programs,,,,,
DMin,9402,9979,9632,9760,9842
Other Prof Dr,1552,1455,1370,1439,1359
Subtotal DMin and Other Prof Dr,10954,11434,11002,11199,11201
PhD/ThD,3773,3879,3968,4243,4390
Non-Degree Programs,,,,,
NonDegree,3966,4006,4471,5519,6200
Total,73116,72786,71517,74183,76379
Canada,,,,,
,2021,2022,2023,2024,2025
Master's Degree Programs,,,,,
MDiv,1436,1331,1293,1309,1263
MA (prof),1000,944,1006,1041,1168
MA (acad),538,424,381,310,333
MA (both),465,504,546,689,711
Subtotal MA,2003,1872,1933,2040,2212
ThM/STM,161,150,169,124,101
Doctoral Degree Programs,,,,,
DMin,237,215,254,250,258
Other Prof Dr,44,53,51,45,49
Subtotal DMin and Other Prof Dr,281,268,305,295,307
PhD/ThD,244,234,230,228,221
Non-Degree Programs,,,,,
NonDegree,780,688,748,827,881
Total,4905,4543,4678,4823,4985
