col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Financial Aid Officer,,,,,,
Number,11,14,6,3,6,3
Average Salary,48884,57153,79328,-,74151,-
Median Salary,47544,54000,75837,-,68640,-
Average Salary and Housing,48884,57153,79328,-,74151,-
Average Benefits,4252,8717,8497,-,9945,-
Average Pension,3101,4040,5059,-,7689,-
Total Compensation Average,56237,69910,92885,-,91784,-
Total Compensation 25th Percentile,31000,48320,64311,-,69479,-
Total Compensation Median,47544,66154,84604,-,96213,-
Total Compensation 75th Percentile,71385,90560,122920,-,109959,-
HR Staff,,,,,,
Number,4,7,3,3,5,-
Average Salary,-,79750,-,-,76920,-
Median Salary,-,76500,-,-,-,-
Average Salary and Housing,-,79750,-,-,76920,-
Average Benefits,-,18773,-,-,4721,-
Average Pension,-,9060,-,-,7855,-
Total Compensation Average,-,107583,-,-,89497,-
Total Compensation 25th Percentile,-,96351,-,-,61705,-
Total Compensation Median,-,111626,-,-,94044,-
Total Compensation 75th Percentile,-,113607,-,-,97357,-
Developer,,,,,,
Number,-,5,-,-,1,-
Average Salary,-,64215,-,-,-,-
Median Salary,-,-,-,-,-,-
Average Salary and Housing,-,66432,-,-,-,-
Average Benefits,-,16597,-,-,-,-
Average Pension,-,7619,-,-,-,-
Total Compensation Average,-,90648,-,-,-,-
Total Compensation 25th Percentile,-,71279,-,-,-,-
Total Compensation Median,-,94377,-,-,-,-
Total Compensation 75th Percentile,-,99549,-,-,-,-
IT Help Desk Support,,,,,,
Number,4,8,6,-,2,-
Average Salary,-,59869,64849,-,-,-
Median Salary,-,53000,65000,-,-,-
Average Salary and Housing,-,59869,64849,-,-,-
Average Benefits,-,17362,9819,-,-,-
Average Pension,-,7724,4529,-,-,-
Total Compensation Average,-,84955,79197,-,-,-
Total Compensation 25th Percentile,-,69302,60664,-,-,-
Total Compensation Median,-,84180,79559,-,-,-
Total Compensation 75th Percentile,-,97381,92625,-,-,-
