Table 1.6 Number of Accredited Schools Offering Approved Degrees by Category,col_1,col_2
All Member Schools,,
Degree Category,2024-2025,2025-2026
Master's Degree Programs (MDiv),246,246
Master's Degree Programs (MA),250,251
Master's Degree Programs (ThM/STM),91,89
Doctoral Degree Programs (DMin and Other Professional Doctorate),169,168
Doctoral Degree Programs (PhD/ThD),71,76
United States,,
Degree Category,2024-2025,2025-2026
Master's Degree Programs (MDiv),214,214
Master's Degree Programs (MA),219,220
Master's Degree Programs (ThM/STM),75,75
Doctoral Degree Programs (DMin and Other Professional Doctorate),153,152
Doctoral Degree Programs (PhD/ThD),63,68
Canada,,
Degree Category,2024-2025,2025-2026
Master's Degree Programs (MDiv),32,32
Master's Degree Programs (MA),31,31
Master's Degree Programs (ThM/STM),16,14
Doctoral Degree Programs (DMin and Other Professional Doctorate),16,16
Doctoral Degree Programs (PhD/ThD),8,8
