United States,col_1,col_2,col_3,col_4,col_5,col_6
,2023-2024,,2024-2025,,2025-2026,
,$,N,$,N,$,N
Director of Career/Placement Services,88538,15,84051,13,86449,9
Director of Recruitment/Retention,92288,14,91086,16,100751,14
"Director of Relations (Alum, External, Church)",90784,14,92415,22,112588,26
Director of Student Services/Affairs,81258,61,83577,63,88045,61
Accounting Staff,84132,33,87248,38,87161,45
Admissions Officer,79755,103,81137,91,82313,85
Alum Officer,93152,23,96360,19,104635,16
Business Office Staff,74176,30,79793,39,87655,44
Communications Staff,79897,60,87392,60,93629,57
Data Specialist,82497,8,75513,12,75022,17
Development Professional Staff,99450,134,100928,121,107883,112
Educational Technology Staff,79364,10,87352,19,89482,18
Financial Aid Officer,80263,55,79888,40,86437,35
HR Staff,91231,15,97164,20,100138,20
Developer,-,4,-,4,90204,6
IT Help Desk Support,76009,9,79973,12,84117,16
Library Staff,78684,134,82868,136,87428,132
Network Administrator,83787,12,91385,15,92845,16
PC Technician,-,4,-,4,96567,5
Recruitment Staff,80297,43,82690,32,85764,37
Registrar,81360,125,84733,121,87637,119
Title IX Coordinator,-,3,-,3,-,3
Faculty,,,,,,
Professor,126451,1060,127740,1057,132150,1020
Associate Professor,108591,654,109754,632,115612,655
Assistant Professor,89094,555,90405,565,94481,553
Not Ranked,115409,26,118426,25,110988,24
