Table 2.8 Full-Time Equivalent Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
United States,,,,,
,2021,2022,2023,2024,2025
Master's Degree Programs,,,,,
MDiv,19329,18600,17909,17897,18355
MA (prof),7951,7871,6981,7268,7895
MA (acad),5786,5813,5020,5154,5321
MA (both),918,1562,1378,1651,1591
Subtotal MA,14655,15247,13379,14073,14807
ThM/STM,675,673,419,472,486
Doctoral Degree Programs,,,,,
DMin,3132,3326,6432,6596,6815
Other Prof Dr,1552,1455,1003,1032,1056
Subtotal DMin and Other Prof Dr,4684,4781,7435,7629,7871
PhD/ThD,3773,3879,2678,2935,3062
Non-Degree Programs,,,,,
NonDegree,2101,2016,1992,2380,2741
Total,45217,45195,43812,45384,47322
Canada,,,,,
,2021,2022,2023,2024,2025
Master's Degree Programs,,,,,
MDiv,910,780,852,889,882
MA (prof),524,492,513,593,658
MA (acad),301,199,187,143,167
MA (both),184,245,204,292,310
Subtotal MA,1009,937,904,1027,1135
ThM/STM,69,55,67,46,38
Doctoral Degree Programs,,,,,
DMin,79,72,163,175,192
Other Prof Dr,44,53,40,45,49
Subtotal DMin and Other Prof Dr,123,125,203,220,241
PhD/ThD,244,234,192,139,201
Non-Degree Programs,,,,,
NonDegree,304,225,365,406,431
Total,2659,2355,2583,2727,2927
