Canada,col_1,col_2,col_3,col_4,col_5,col_6
,2023-2024,,2024-2025,,2025-2026,
,$,N,$,N,$,N
Administrators,,,,,,
Chief Executive Officer (CEO),181213,33,200954,30,196873,33
Chief Academic Officer (CAO),126934,23,141848,23,139272,25
Executive Vice President,-,4,-,3,-,1
VP-Administration,172995,7,119859,6,-,4
VP/Director-HR,-,-,-,-,-,2
Chief Development Officer,128670,9,145128,7,132273,7
VP-Finance (CFO),124359,14,126266,12,122345,14
VP-Operations/Facilities (COO),-,1,-,2,-,3
Academic Dean - Other,-,4,-,2,94454,5
Dean of Chapel/Chaplain,-,-,-,1,-,1
Dean of Students,99048,8,113182,6,104563,7
Director/Chair of Academic Degree Program,-,3,-,4,-,2
Director of Admissions,-,1,-,1,-,2
Director of Advancement,-,3,-,3,112567,5
Director of Assessment,-,1,-,1,-,1
Business Office Manager,-,2,-,1,-,-
Director of Communications,-,2,-,2,-,3
Director of Enrollment Management,-,1,-,1,-,-
Facilities Director,-,1,-,3,-,3
Director of Field Education,-,1,-,1,-,1
Director of Formation,-,4,76211,5,-,4
Director of Graduate Studies,-,-,-,1,-,1
Director of Housing/Student Life,-,2,-,1,-,2
Director of IT,102715,7,106299,7,108807,7
Director of Library,104303,11,104514,11,102261,13
Director of Continuing Education/Lifelong Learning,-,3,-,2,-,2
Director of Marketing,-,4,82798,5,92452,5
Director of Online Education/Distance Learning/Digital Learning,-,4,-,2,-,1
Director of Recruitment/Retention,-,1,-,-,-,1
"Director of Relations (Alum, External, Church)",-,2,-,3,-,2
Director of Student Services/Affairs,-,4,85507,7,79459,8
Accounting Staff,-,2,-,4,-,3
Admissions Officer,60988,10,65593,9,66556,12
Alum Officer,-,1,-,1,-,1
Business Office Staff,-,4,-,4,64460,5
Communications Staff,61289,10,57766,7,66486,8
Development Professional Staff,-,4,93786,5,-,4
