Canada,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2016,,2021,,2024,,2025,
Enrollment size,N,%,N,%,N,%,N,%
< 75,22,56%,24,65%,24,67%,19,53%
75 - 150,12,31%,9,24%,9,25%,13,36%
151 - 300,3,8%,3,8%,2,6%,2,6%
301 - 500,1,3%,1,3%,0,-,0,-
501 - 1000,0,-,0,-,1,3%,1,3%
> 1000,0,-,0,-,0,-,0,-
Not Reporting,1,3%,0,-,0,-,1,3%
Total,39,100%,37,100%,36,100%,36,100%
