col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
Duke University Divinity School,ACCRED,U,W,NC,UMC,54012,300.0,45,56,599,592,31400
Earlham School of Religion,ACCRED,C,W,IN,FRNDS,2536,38.9,6,7,52,34,12955
Eastern Mennonite Seminary of Eastern Mennonite University,ACCRED,C,W,VA,MBUS,1960,8.9,3,5,60,31,15316
Ecumenical Theological Seminary,ACCRED,I,B,MI,INTER,1149,0.0,3,9,54,39,19773
Eden Theological Seminary,ACCRED,I,B,MO,UCC,5989,26.5,6,9,87,60,17400
Emmanuel Christian Seminary at Milligan,ACCRED,C,W,TN,CCHCHC,3292,15.4,9,12,95,63,14990
Emmanuel College of Victoria University,ACCRED,U,W,ON,UCCAN,6046,26.2,14,17,239,191,8563
Erskine Theological Seminary,ACCRED,C,W,SC,ARP,1700,0.0,5,7,90,26,13400
Evangelia University Graduate School of Theology,ACCRED,U,A,CA,KPCAK,1110,0.0,16,20,134,132,6672
Franciscan School of Theology,ACCRED,I,N,CA,RC,3498,10.8,5,12,88,54,21060
Freed-Hardeman University Graduate School of Theology,ACCRED,U,W,TN,CHUCHR,1016,0.0,2,2,73,36,59160
Fresno Pacific Biblical Seminary of Fresno Pacific University,ACCRED,U,H,CA,MBNA,1276,0.0,5,10,111,65,9720
Fuller Theological Seminary,ACCRED,I,W,CA,INTER,68864,180.8,28,68,1489,665,18712
Garrett-Evangelical Theological Seminary,ACCRED,I,M,IL,UMC,24265,137.0,22,23,334,201,23138
Gateway Seminary,ACCRED,I,M,CA,SBC,16244,69.2,15,41,1546,698,10890
General Theological Seminary,ACCRED,I,W,NY,EPISC,7255,42.8,4,4,54,42,8700
George W. Truett Theological Seminary of Baylor University,ACCRED,U,W,TX,BAPBGCT,14397,126.8,28,32,483,311,20700
Georgia Central University School of Divinity,ACCRED,U,N,GA,KAPC,1708,0.0,14,39,135,361,11450
GETS Theological Seminary,ASSOC,I,A,CA,INTER,1419,0.0,6,6,175,72,1970
Gordon-Conwell Theological Seminary,ACCRED,I,W,MA,INTER,32104,71.5,25,38,1294,703,27300
Grace Mission University Graduate School,ACCRED,U,A,CA,PCINT,1608,0.0,0,4,267,228,4920
Grace School of Theology,ACCRED,I,N,TX,INTER,6569,0.0,5,16,325,140,7720
Grace Theological Seminary,ACCRED,C,N,IN,FEGRACE,1533,2.6,7,25,267,129,11750
"Graduate School of Theology and Ministry in Puerto Rico, St. Albert the Great",ACCRED,U,H,PR,RC,134,0.2,0,5,22,16,30305
Graduate Theological Union,ACCRED,I,W,CA,INTER,10822,53.4,9,11,144,219,0
Grand Canyon Theological Seminary at Grand Canyon University,ACCRED,U,W,AZ,INTER,1117,0.0,10,76,452,414,12635
Harding School of Theology,ACCRED,C,W,AR,CHUCHR,2386,18.8,5,7,179,67,11438
Hartford International University for Religion and Peace,ACCRED,I,W,CT,INTER,8098,75.5,8,12,97,69,0
Harvard University Divinity School,ACCRED,U,W,MA,INTER,56925,888.5,30,41,295,398,36070
Hazelip School of Theology of Lipscomb University,ACCRED,U,W,TN,CHUCHR,1021,0.0,8,10,94,53,9720
Henry Appenzeller University,ASSOC,I,A,CA,KMCA,159,0.0,0,0,20,19,23600
Heritage Christian University Graduate School of Theology,ACCRED,U,W,AL,CHUCHR,1154,0.8,5,7,89,45,7819
Heritage Theological Seminary,ACCRED,C,W,ON,FEVBAPT,1886,0.7,3,3,156,66,12420
"HMS Richards Divinity School Division of Graduate Studies of La Sierra
University",ACCRED,U,W,CA,SDADV,909,0.0,8,8,19,13,14832
Holy Apostles College and Seminary,ACCRED,C,N,CT,RC,6635,11.1,3,34,470,188,18188
