All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Development Professional Staff,,,
Number,26,41,48
Average Salary,95170,78132,87024
Median Salary,83000,71765,83280
Average Salary and Housing,95170,78132,87024
Average Benefits,14913,12458,13090
Average Pension,5987,7392,7869
Total Average,116070,97982,107983
25th percentile,75950,72774,82091
Median,98176,92877,105358
75th percentile,142527,114227,129793
Educational Technology Staff,,,
Number,1,12,5
Average Salary,-,67143,70238
Median Salary,-,68330,70000
Average Salary and Housing,-,67143,70238
Average Benefits,-,14852,20745
Average Pension,-,4974,4181
Total Average,-,86969,95165
25th percentile,-,67266,62485
Median,-,89854,92011
75th percentile,-,95701,107829
Financial Aid Officer,,,
Number,12,14,14
Average Salary,67221,57204,74552
Median Salary,52502,54000,68640
Average Salary and Housing,67221,57204,74552
Average Benefits,7188,9510,12591
Average Pension,4565,4546,6087
Total Average,78974,71261,93231
25th percentile,42430,48320,69479
Median,63002,71385,89772
75th percentile,100547,90560,109959
