Canada,col_1,col_2,col_3,col_4,col_5,col_6
,2023-2024,,2024-2025,,2025-2026,
,$,N,$,N,$,N
Financial Aid Officer,"61,673",5,-,4,"61,643",5
HR Staff,-,1,-,-,-,1
IT Help Desk Support,-,2,-,4,-,4
Library Staff,"89,846",11,"94,378",11,"92,136",12
Recruitment Staff,"64,430",9,"67,680",8,"66,698",7
Registrar,"90,149",24,"97,940",25,"104,224",23
Faculty,,,,,,
Professor,"142,816",61,"145,028",51,"152,273",51
Associate Professor,"112,469",67,"113,365",73,"115,771",78
Assistant Professor,"100,456",46,"103,947",45,"103,828",48
Not Ranked,-,3,-,1,-,1
