All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2016,,2021,,2024,,2025,
Enrollment size,N,%,N,%,N,%,N,%
< 75,106,39%,104,38%,131,47%,116,41%
75 - 150,84,31%,86,32%,78,28%,84,30%
151 - 300,48,18%,49,18%,38,14%,41,15%
301 - 500,18,7%,15,6%,11,4%,14,5%
501 - 1000,9,3%,10,4%,16,6%,17,6%
> 1000,7,3%,7,3%,6,2%,5,2%
Not Reporting,2,1%,1,0%,1,0%,3,1%
Total,274,100%,272,100%,281,100%,280,100%
