col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Accounting Staff,,,,,,
Number,10,15,11,1,12,-
Average Salary,65191,70093,56023,-,78579,-
Median Salary,61360,66188,60000,-,74000,-
Average Salary and Housing,65191,70093,56023,-,78579,-
Average Benefits,8076,14639,10967,-,9152,-
Average Pension,4179,5967,4920,-,8065,-
Total Compensation Average,77445,90699,71910,-,95796,-
Total Compensation 25th Percentile,58240,71824,61756,-,71317,-
Total Compensation Median,71330,75363,80267,-,99162,-
Total Compensation 75th Percentile,98938,96897,81692,-,112598,-
Admissions Officer,,,,,,
Number,27,26,25,8,11,1
Average Salary,53419,63991,65963,57896,69070,-
Median Salary,51454,57767,58656,49442,67980,-
Average Salary and Housing,53419,64836,67023,57896,69070,-
Average Benefits,8839,12714,6428,12373,11058,-
Average Pension,4454,5511,5149,2167,8144,-
Total Compensation Average,66712,83061,78601,72437,88272,-
Total Compensation 25th Percentile,50000,50843,58656,48958,80231,-
Total Compensation Median,64090,79219,68770,57949,85458,-
Total Compensation 75th Percentile,74193,111054,97512,87185,99667,-
Alum Officer,,,,,,
Number,3,5,5,1,2,1
Average Salary,-,74720,71036,-,-,-
Median Salary,-,-,-,-,-,-
Average Salary and Housing,-,86378,71036,-,-,-
Average Benefits,-,11468,9522,-,-,-
Average Pension,-,6251,5915,-,-,-
Total Compensation Average,-,104098,86473,-,-,-
Total Compensation 25th Percentile,-,63206,53840,-,-,-
Total Compensation Median,-,100400,78614,-,-,-
Total Compensation 75th Percentile,-,128288,80622,-,-,-
Business Office Staff,,,,,,
Number,10,21,15,-,4,-
Average Salary,51137,66605,80131,-,-,-
Median Salary,46947,59736,71700,-,-,-
Average Salary and Housing,51137,66605,80131,-,-,-
Average Benefits,6870,14454,6722,-,-,-
Average Pension,4517,4275,6754,-,-,-
Total Compensation Average,62525,85334,93607,-,-,-
Total Compensation 25th Percentile,54507,57173,52511,-,-,-
Total Compensation Median,55667,74854,95720,-,-,-
Total Compensation 75th Percentile,80450,107100,110915,-,-,-
