Table 4.6 Total Revenue and Expenditures,col_1,col_2,col_3
All Member Schools,,,
,"Revenue*
($000s)","Expenditures
($000s)","Surplus/Deficit
($000s)"
2021-22,4235449,1954841,2280609
2022-23,1598887,2113167,"(514,280)"
2023-24,2661661,2267054,394607
2024-25,3146537,2403212,743325
2025-26,3351271,2580933,770338
United States,,,
,"Revenue*
($000s)","Expenditures
($000s)","Surplus/Deficit
($000s)"
2021-22,4089150,1858355,2230796
2022-23,1502656,2017403,"(514,747)"
2023-24,2532907,2165337,367570
2024-25,3029607,2301227,728380
2025-26,3220057,2479045,741011
Canada,,,
,"Revenue*
($000s)","Expenditures
($000s)","Surplus/Deficit
($000s)"
2021-22,180616,119118,61498
2022-23,123849,123248,601
2023-24,170734,134882,35852
2024-25,159968,139522,20446
2025-26,179549,139419,40129
* Revenues include market gains and losses on investments.,,,
