All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Executive Vice President,,,
Number,6,11,11
Average Salary,155200,127142,166541
Median Salary,150000,137311,160000
Average Salary and Housing,158400,127142,166541
Average Benefits,21509,8174,24445
Average Pension,13601,11354,16832
Total Average,193510,146671,207818
25th percentile,165649,113606,136949
Median,178136,137311,225396
75th percentile,238098,180957,252489
VP-Administration,,,
Number,9,17,14
Average Salary,109191,100892,138172
Median Salary,101990,101213,128023
Average Salary and Housing,112976,106268,144182
Average Benefits,21393,15638,17611
Average Pension,10590,7823,13044
Total Average,144959,129729,174837
25th percentile,68890,103276,116728
Median,122600,118051,162631
75th percentile,165289,151992,195854
VP/Director-HR,,,
Number,7,7,19
Average Salary,111954,109267,113572
Median Salary,102743,109304,100000
Average Salary and Housing,111954,109267,115151
Average Benefits,21541,11813,13322
Average Pension,6324,10015,11053
Total Average,139819,131095,139526
25th percentile,89197,88328,109162
Median,123200,115260,129715
75th percentile,162210,121327,153635
