Table 2.7 Head Count Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
All Member Schools,,,,,
,2021,2022,2023,2024,2025
Master's Degree Programs,,,,,
MDiv,29100,27709,26146,26077,26630
MA (prof),13868,13626,13775,14622,15162
MA (acad),11685,10827,10494,10445,10825
MA (both),2037,3343,3755,4368,4312
Subtotal MA,27590,27796,28024,29435,30299
ThM/STM,1333,1315,1301,1183,1235
Doctoral Degree Programs,,,,,
DMin,9639,10194,9886,10010,10100
Other Prof Dr,1596,1508,1421,1484,1408
Subtotal DMin and Other Prof Dr,11235,11702,11307,11494,11508
PhD/ThD,4017,4113,4198,4471,4611
Non-Degree Programs,,,,,
NonDegree,4746,4694,5219,6346,7081
Total,78021,77329,76195,79006,81364
