"Table 2.13 Church/Denominational Affiliation of Students Currently Enrolled, Fall 2025",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All Member Schools,,,,,,,,
,MDiv,,Master of Arts,,All Other Students,,Total Schools,
Church/Denominational Affiliation,N,HC,N,HC,N,HC,N,HC
Advent Christian Church,2,2,2,2,1,1,5,5
African Methodist Episcopal,53,261,25,50,44,120,67,431
African Methodist Episcopal Zion,9,52,5,13,10,59,13,124
American Baptist Churches USA,32,121,31,66,35,119,47,306
Anglican Church of Canada,10,73,15,62,19,73,23,208
"Anglican, Other",40,212,45,288,50,250,71,750
Antiochian Orthodox Christian Archdiocese of North America,4,61,2,10,3,194,4,265
Assemblies of God,57,251,74,599,54,415,96,"1,265"
Associate Reformed Presbyterian Church,9,33,7,14,8,30,13,77
Associated Gospel Churches of Canada,4,15,7,14,5,13,9,42
Augsburg Lutheran Churches,0,0,0,0,1,2,1,2
Baptist,94,801,108,"1,038",104,893,136,"2,732"
Baptist Convention of Ontario and Quebec,6,21,4,18,7,37,9,76
Baptist General Association of Virginia,4,6,2,7,2,4,7,17
Baptist General Convention of Texas,3,123,4,81,3,90,5,294
Baptist Missionary Association of America,17,45,10,35,15,40,31,120
Baptist State Convention of North Carolina,0,0,1,2,2,2,3,4
"Baptist, Other",48,513,42,554,44,577,61,"1,644"
"Brethren Church (Ashland, Ohio)",2,2,2,13,4,5,5,20
Brethren in Christ Church,4,7,7,17,8,12,10,36
"Brethren, Other",7,15,4,12,10,16,14,43
Buddhist,13,57,11,65,8,14,20,136
Byzantine Catholic,3,19,5,31,5,16,7,66
Canadian Association of Lutheran Congregations,0,0,1,1,1,3,2,4
Canadian Baptists of Atlantic Canada,2,29,1,16,2,31,2,76
Canadian Baptists of Western Canada,2,6,5,9,4,4,7,19
Canadian National Baptist Convention,2,10,3,9,4,5,5,24
Canadian Reformed Churches,4,12,4,8,8,13,10,33
"Catholic, Other",12,125,10,207,15,54,25,386
Christian and Missionary Alliance,35,132,47,294,42,212,65,638
Christian Brethren (Plymouth Brethren),2,7,5,9,4,7,7,23
Christian Church (Disciples of Christ),40,181,37,152,38,157,70,490
Christian Churches and Churches of Christ,14,61,14,101,10,35,25,197
Christian Methodist Episcopal,13,51,7,11,14,25,23,87
Christian Reformed Church,23,135,23,88,23,92,36,315
"Church of God (Anderson, Indiana)",12,27,14,47,16,27,29,101
"Church of God (Cleveland, Tennessee)",9,39,12,127,13,164,21,330
Church of God in Christ,23,46,18,32,18,30,36,108
Church of the Brethren,5,14,3,9,5,15,10,38
Church of the Nazarene,18,113,26,93,26,135,46,341
Churches of Christ,24,183,24,232,30,121,43,536
"Churches of Christ-Christian Churches, Other",6,18,9,33,6,23,13,74
"Churches of God, General Conference",12,31,11,51,10,47,19,129
Conference of Mennonites,0,0,2,2,1,1,3,3
Convention of Atlantic Baptist Churches,0,0,0,0,1,1,1,1
Converge Worldwide,9,24,7,25,7,19,11,68
Cooperative Baptist Fellowship,14,62,10,25,15,45,22,132
Cumberland Presbyterian Church,5,14,2,3,2,2,6,19
ECO: A Covenant Order of Evangelical Presbyterians,4,19,4,18,4,16,6,53
