Table 2.3 Full-Time Equivalent Enrollment,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
All Member Schools,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2021,272,20238,15663,744,4806,4017,45469,2405,47874
2022,280,19380,16184,728,4906,4113,45311,2242,47553
2023,274,18760,14283,486,7638,2870,44037,2357,46393
2024,281,18786,15101,519,7849,3074,45329,2786,48115
2025,280,19237,15943,524,8112,3263,47077,3172,50250
United States,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2021,235,19329,14655,675,4684,3773,43115,2101,45215
2022,243,18600,15247,673,4781,3879,43180,2016,45196
2023,237,17909,13379,419,7435,2678,41820,1992,43812
2024,245,17897,14073,472,7629,2935,43007,2380,45386
2025,244,18355,14807,486,7871,3062,44581,2741,47322
Canada,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2021,37,910,1009,69,123,244,2354,304,2659
2022,37,780,937,55,125,234,2131,225,2356
2023,37,852,904,67,203,192,2216,365,2581
2024,36,889,1027,46,220,139,2322,406,2728
2025,36,882,1135,38,241,201,2497,431,2928
Table 2.3 reports fall full time equivalent enrollment over a five-year period.,,,,,,,,,
