"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2025",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Liberty Theological Seminary,,2364,1834,2387,1548,27,15,1217,1120,70,55,279,171,6344,4743
Life Pacific University Seminary,,25,22,99,77,0,0,0,0,0,0,0,0,124,99
Lincoln Seminary at Ozark Christian College,,38,15,106,36,0,0,0,0,0,0,5,2,149,53
Logos Evangelical Seminary,,45,28,132,58,2,1,56,49,3,3,9,4,247,143
Louisville Presbyterian Theological Seminary,,43,31,29,27,0,0,20,30,0,0,0,0,92,88
"Loyola Marymount University Department of
Theological Studies",,0,0,46,20,0,0,0,0,0,0,0,0,46,20
"Loyola University Chicago Institute of Pastoral
Studies",,60,34,105,32,0,0,0,0,0,0,57,18,222,84
Luther Seminary,,236,127,96,48,6,0,0,0,16,10,65,20,419,205
Lutheran School of Theology at Chicago,,26,17,11,8,7,3,5,4,29,30,13,4,91,66
Lutheran Theological Seminary (SK),,6,4,2,2,0,0,7,8,0,0,5,2,20,16
"Lutheran Theological Southern Seminary of Lenoir-
Rhyne University",,39,33,8,5,0,0,0,0,0,0,7,2,54,40
"M. Christopher White School of Divinity of Gardner-
Webb University",,53,40,9,4,0,0,40,30,0,0,0,0,102,74
Martin Luther University College,,7,1,190,21,0,0,0,0,0,0,21,2,218,24
The Master's Seminary,,505,346,163,75,46,14,67,74,7,5,15,6,803,520
McCormick Theological Seminary,,23,16,23,21,0,0,81,22,0,0,1,0,128,59
McGill University School of Religious Studies,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McMaster Divinity College,,36,23,89,52,0,0,49,49,51,51,30,11,255,186
Meadville Lombard Theological School,,40,35,3,2,0,0,15,14,0,0,1,0,59,51
Memphis Theological Seminary,,46,30,15,8,0,0,77,64,0,0,15,6,153,108
Methodist Theological School in Ohio,,125,89,51,30,0,0,36,0,0,0,5,11,217,130
Mid-America Reformed Seminary,,25,32,6,6,0,0,0,0,0,0,4,2,35,40
Midwestern Baptist Theological Seminary,,757,406,751,344,59,21,654,363,610,351,250,103,3081,1588
Missio Theological Seminary,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montreal School of Theology,,24,25,0,0,25,12,0,0,0,0,3,4,52,41
Moody Theological Seminary,,202,121,358,203,0,0,47,42,0,0,54,27,661,393
Moravian University School of Theology,,38,32,16,10,0,0,25,13,0,0,15,7,94,62
Mount Angel Seminary,,37,44,15,9,0,0,11,9,0,0,0,0,63,62
Mount Saint Mary's Seminary,,62,103,24,26,0,0,0,0,0,0,1,1,87,130
Multnomah Biblical Seminary of Jessup University,,10,6,13,6,0,0,5,5,0,0,0,0,28,17
NAIITS An Indigenous Learning Community,,5,2,11,3,0,0,0,0,20,10,0,0,36,15
Nashotah House,,23,30,49,34,15,3,26,12,0,0,26,11,139,90
Nazarene Theological Seminary,,64,39,22,12,0,0,62,52,0,0,2,1,150,104
New Brunswick Theological Seminary,,52,31,25,11,0,0,48,25,0,0,31,1,156,68
New Orleans Baptist Theological Seminary,,557,355,502,299,13,7,303,154,141,111,19,8,1535,934
Newman Theological College,,31,32,108,35,0,0,0,0,0,0,97,65,236,132
North Park Theological Seminary,,39,20,100,43,0,0,2,0,0,0,51,4,192,67
"Northeastern Seminary at Roberts Wesleyan
University",,46,24,63,22,0,0,66,30,0,0,29,12,204,88
Northern Baptist Theological Seminary,,27,10,113,36,0,0,17,11,0,0,4,1,161,58
Northwest Nazarene Divinity School,,24,13,24,12,0,0,0,0,54,60,6,3,108,88
Northwest Seminary,,17,14,77,41,0,0,36,31,0,0,1,1,131,87
"Northwest University College of Ministry Graduate
Studies",,0,0,47,22,0,0,0,0,0,0,1,1,48,23
Notre Dame Seminary,,82,103,29,20,0,0,0,0,0,0,0,0,111,123
"Oakwood University School of Theology Graduate
Department",,0,0,13,10,0,0,0,0,0,0,0,0,13,10
Oblate School of Theology,,62,51,116,58,0,0,27,6,17,12,0,0,222,127
