All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Recruitment/Retention,,,
Number,1,6,8
Average Salary,-,78454,81209
Median Salary,-,70000,78356
Average Salary and Housing,-,84454,81209
Average Benefits,-,12579,8957
Average Pension,-,8072,7321
Total Average,-,105104,97487
25th percentile,-,84500,84256
Median,-,88329,93272
75th percentile,-,113819,99364
"Director of Relations (Alum, External, Church)",,,
Number,1,13,13
Average Salary,-,76132,91836
Median Salary,-,72000,87550
Average Salary and Housing,-,76132,98733
Average Benefits,-,12459,23807
Average Pension,-,2317,6915
Total Average,-,90908,129455
25th percentile,-,68105,82571
Median,-,78177,124021
75th percentile,-,109053,150131
Director of Student Services/Affairs,,,
Number,16,32,20
Average Salary,68911,67954,72097
Median Salary,71437,66129,70000
Average Salary and Housing,69661,68097,72097
Average Benefits,9386,11244,10794
Average Pension,3895,4075,6484
Total Average,82942,83415,89375
25th percentile,71437,65287,68936
Median,85137,75967,85193
75th percentile,90809,96952,105040
