"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2025",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
"George W. Truett Theological Seminary of Baylor
University",,214,160,123,65,0,0,121,76,20,9,5,1,483,311
Georgia Central University School of Divinity,,48,93,36,92,0,0,36,90,15,87,0,0,135,362
GETS Theological Seminary,,0,0,161,65,0,0,14,7,0,0,0,0,175,72
Gordon-Conwell Theological Seminary,,298,149,589,287,40,16,211,185,0,0,156,67,1294,704
Grace Mission University Graduate School,,93,75,104,92,0,0,21,17,49,44,0,0,267,228
Grace School of Theology,,136,59,167,70,6,2,11,8,0,0,5,2,325,141
Grace Theological Seminary,,91,47,109,46,0,0,65,35,0,0,2,1,267,129
"Graduate School of Theology and Ministry in Puerto
Rico, St. Albert the Great",,4,5,7,4,7,5,0,0,0,0,4,2,22,16
Graduate Theological Union,,0,0,16,12,0,0,0,0,96,189,32,18,144,219
"Grand Canyon Theological Seminary at Grand
Canyon University",,231,226,199,167,0,0,0,0,0,0,22,22,452,415
Harding School of Theology,,70,27,75,26,0,0,29,14,0,0,5,1,179,68
"Hartford International University for Religion and
Peace",,0,0,58,40,0,0,19,15,12,13,8,2,97,70
Harvard University Divinity School,,130,178,165,220,0,0,0,0,0,0,0,0,295,398
Hazelip School of Theology of Lipscomb University,,30,16,45,18,0,0,19,20,0,0,0,0,94,54
Henry Appenzeller University,,13,13,1,0,0,0,5,5,0,0,1,1,20,19
"Heritage Christian University Graduate School of
Theology",,29,17,60,28,0,0,0,0,0,0,0,0,89,45
Heritage Theological Seminary,,56,31,40,15,0,0,0,0,0,0,60,20,156,66
"HMS Richards Divinity School Division of Graduate
Studies of La Sierra University",,13,10,6,3,0,0,0,0,0,0,0,0,19,13
Holy Apostles College and Seminary,,20,19,413,154,0,0,0,0,0,0,37,16,470,189
Holy Cross Greek Orthodox School of Theology,,75,93,77,45,21,11,0,0,0,0,66,30,239,179
Hood Theological Seminary,,71,47,11,7,0,0,46,22,0,0,10,4,138,80
Horizon College and Seminary,,13,7,64,27,0,0,0,0,0,0,16,6,93,40
Howard University School of Divinity,,45,34,0,0,0,0,29,41,0,0,0,0,74,75
Huron University College Faculty of Theology,,13,18,40,55,6,0,0,0,0,0,1,3,60,76
Iliff School of Theology,,62,44,20,13,0,0,24,11,47,38,1,0,154,106
"Immaculate Conception Seminary of Seton Hall
University",,56,61,110,43,0,0,0,0,0,0,115,114,281,218
Indianapolis Theological Seminary,,28,13,17,7,0,0,0,0,0,0,21,8,66,28
"Inter American University of Puerto Rico-
Metropolitan Campus Department of Theology and
History",,0,0,3,1,0,0,0,0,31,18,0,0,34,19
Inter-American Adventist Theological Seminary,,0,0,412,394,0,0,91,140,19,24,0,0,522,558
Interdenominational Theological Center,,36,27,0,0,0,0,32,30,0,0,0,0,68,57
International Reformed University and Seminary,,38,37,14,11,0,0,7,9,27,33,0,0,86,90
International Theological Seminary,,31,52,15,14,0,0,38,31,0,0,0,0,84,97
"James and Carolyn McAfee School of Theology of
Mercer University",,63,42,16,9,0,0,35,19,0,0,5,2,119,72
Jesuit School of Theology of Santa Clara University,,20,21,23,18,18,13,0,0,0,0,47,46,108,98
John Leland Center for Theological Studies,,9,4,11,6,0,0,0,0,0,0,7,4,27,14
Kairos University,,416,232,622,359,0,0,193,155,162,96,0,0,1393,842
"Kearley Graduate School of Theology of Faulkner
University",,0,0,21,9,2,1,0,0,14,7,0,0,37,17
Kenrick-Glennon Seminary,,71,46,0,0,0,0,0,0,0,0,0,0,71,46
The King's Seminary at The King's University,,61,35,70,36,0,0,72,33,0,0,5,2,208,106
Knox College,,8,9,72,75,2,0,2,0,11,0,5,8,100,92
Knox Theological Seminary,,49,24,39,17,0,0,47,42,0,0,4,2,139,85
Lexington Theological Seminary,,33,9,17,3,0,0,34,8,0,0,13,4,97,24
