col_0,STATUS AT END OF CALENDAR YEAR,col_2
School Name,2024,2025
Heritage Christian University Graduate School of Theology,Associate,Accredited
"Inter American University of Puerto Rico-Metropolitan Campus
Department of Theology and History",Associate,Accredited
Lancaster Theological Seminary,Accredited,Withdrawn
